split_bucket,decile_index,row_n,mean_payoff,mean_continue_advantage,mean_score,model_id,score_cutoff_source,decile_payoff_monotonicity_spearman,top3_minus_bottom3_payoff_gap,split_local_score_cutoff_recompute_used,monotonicity_status
train,1,2025,-0.01943036720517551,-0.01443036720517551,-0.019144181242807375,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,2,2024,-0.005283421979365492,-0.0002834219793654901,-0.0021548798760975814,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,3,2025,0.008670040256489535,0.013670040256489536,0.005360718253523231,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,4,2024,0.012238296768534794,0.01723829676853479,0.011201318343110089,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,5,2024,0.019598146036784052,0.024598146036784053,0.016594358135277147,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,6,2025,0.026239728938759897,0.031239728938759894,0.021775183762501062,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,7,2024,0.026830358676993085,0.03183035867699308,0.027352202550452454,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,8,2025,0.03067165860154489,0.03567165860154489,0.03407773872753325,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,9,2024,0.03878222695830997,0.04378222695830997,0.04327635753658095,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
train,10,2025,0.06589542796739961,0.07089542796739957,0.06587530537352412,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.9999999999999999,0.05046540760998631,False,pass
robustness,1,444,0.015229535103057381,0.02022953510305738,-0.0214864061112927,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,2,333,0.016477244359595737,0.02147724435959574,-0.002522667302438503,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,3,324,0.0264912563028283,0.0314912563028283,0.005248624955652193,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,4,247,0.03379092225093365,0.038790922250933633,0.011321130255725556,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,5,259,0.07194687579383477,0.07694687579383476,0.0165683847169384,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,6,247,0.03497841594692831,0.03997841594692831,0.021688797707836,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,7,202,0.049378280034406086,0.05437828003440608,0.02749791814803778,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,8,172,0.031130297775373888,0.03613029777537389,0.03385757943819847,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,9,170,0.053386871921520244,0.05838687192152024,0.04277772030209497,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
robustness,10,98,0.06324146653392683,0.06824146653392683,0.05888733377425667,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7333333333333332,0.02796047808627327,False,pass
validation,1,74,-0.025738714269797847,-0.020738714269797846,-0.027676708686808653,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,2,61,0.0018652740844952388,0.006865274084495243,-0.001598580857855054,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,3,50,0.03863856002399546,0.043638560023995465,0.0049797669387216135,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,4,76,0.020396739438559266,0.02539673943855926,0.011246633003856801,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,5,72,0.02588008601111726,0.030880086011117264,0.016521412637918287,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,6,64,0.02243575763785219,0.027435757637852193,0.022129867381251788,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,7,67,0.021363161854203755,0.02636316185420376,0.02700684213157178,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,8,69,0.026822162836702017,0.03182216283670202,0.033860575461665036,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,9,74,0.066519271327871,0.07151927132787099,0.043665835135898806,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
validation,10,57,0.07481226661537091,0.0798122666153709,0.06366672381056651,ridge_payoff_rank_h20_v1,train_frozen_score_deciles,0.7696969696969697,0.05442486788298251,False,pass
train,1,2025,0.018105917652841974,0.023105917652841968,-1.8740576785939616,volatility20d_defense_baseline,train_frozen_score_deciles,-0.309090909090909,-0.0011910380218124982,False,pass
