model_id,feature_name,feature_family_id,coefficient,feature_train_std,standardized_coefficient,abs_coefficient_rank,standardized_abs_coefficient_rank,train_fit_row_n,coefficient_source
ridge_payoff_rank_h20_v1,mr_ret_5d,F1,-0.007048584152308325,1.0132132104374039,-0.007141718577998525,17,13,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_ret_10d,F1,-0.0026816861323106585,1.0323240857303713,-0.002768369184753416,34,34,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_ret_20d,F1,0.008287675075731943,0.9877728204084469,0.00818634018418453,13,8,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_ma_5_20_spread,F1,0.005300681864914854,0.9763183515274224,0.005175152980324974,28,22,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_ma_20_60_spread,F1,-0.0007686771902243827,0.8895849979222982,-0.0006838036966686755,45,45,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_distance_to_20d_high,F1,0.00135769373617571,0.7721372398922111,0.0010483258940696563,42,41,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_distance_to_60d_high,F1,0.009881779236881673,0.719975111222924,0.007114635105154263,9,14,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_turnover_rate_20d_mean,F2,-0.008578028210397695,1.3054229558997703,-0.011197954942208977,11,5,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_turnover_rate_60d_mean,F2,0.0016867583410293606,1.1655066612792437,0.001965928082438046,39,36,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_turnover_rate_20d_zscore,F2,-0.011988112220231613,0.8209612058047739,-0.00984177506364429,6,6,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_volume_20d_zscore,F2,0.03695579164337958,0.8165206705287886,0.0301751677725745,1,1,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_money_20d_zscore,F2,-0.021677433734335096,0.8236209981294076,-0.017853989609157163,3,3,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_board_rank_pct,F3,-0.005974531025728303,0.8835247447188733,-0.0052786459993215875,22,20,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_board_rank_by_market_cap,F3,0.0035805019071784468,0.4896258364679922,0.0017531062412774884,32,37,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_volatility_20d,F4,0.010012236544034294,0.8111554481355102,0.00812148022071487,7,9,20245,linear_coefficient
ridge_payoff_rank_h20_v1,mr_volatility_60d,F4,-0.01926334598991906,0.7863799527702472,-0.015148309109749482,4,4,20245,linear_coefficient
