split_bucket,model_id,target_id,row_n,episode_cluster_n,rank_ic_spearman,continue_advantage_rank_ic_spearman,continue_advantage_replay_abs_diff,coarse_rank_ic_vs_16x_external_delta,rank_ic_status
train,ridge_payoff_rank_h20_v1,y_payoff_h20,20245,652,0.17653418496317602,0.17653418496317602,0.0,,train_in_sample
robustness,ridge_payoff_rank_h20_v1,y_payoff_h20,2496,204,0.1253619565871872,0.1253619565871872,0.0,0.07348521375640957,pass
validation,ridge_payoff_rank_h20_v1,y_payoff_h20,664,41,0.1770748683628941,0.1770748683628941,0.0,,stress_readout_only
train,elastic_net_payoff_rank_h20_v1,y_payoff_h20,20245,652,0.17640348377413548,0.17640348377413548,0.0,,train_in_sample
robustness,elastic_net_payoff_rank_h20_v1,y_payoff_h20,2496,204,0.12520464895966907,0.12520464895966907,0.0,,diagnostic_readout
validation,elastic_net_payoff_rank_h20_v1,y_payoff_h20,664,41,0.18641429829045952,0.18641429829045952,0.0,,diagnostic_readout
train,ridge_ordinal_payoff_state_v1,y_payoff_h20,20245,652,0.10929153204166824,0.10929153204166824,0.0,,train_in_sample
robustness,ridge_ordinal_payoff_state_v1,y_payoff_h20,2496,204,0.07427905758463962,0.07427905758463962,0.0,,diagnostic_readout
validation,ridge_ordinal_payoff_state_v1,y_payoff_h20,664,41,0.11821754088089809,0.11821754088089809,0.0,,diagnostic_readout
train,shallow_tree_payoff_depth2_v1,y_payoff_h20,20245,652,0.10447075733605019,0.10447075733605019,0.0,,train_in_sample
robustness,shallow_tree_payoff_depth2_v1,y_payoff_h20,2496,204,0.06521295987502873,0.06521295987502873,0.0,,diagnostic_readout
validation,shallow_tree_payoff_depth2_v1,y_payoff_h20,664,41,0.06785460114659214,0.06785460114659214,0.0,,diagnostic_readout
train,intercept_unconditional_payoff_baseline,y_payoff_h20,20245,652,,,,,train_in_sample
robustness,intercept_unconditional_payoff_baseline,y_payoff_h20,2496,204,,,,,diagnostic_readout
validation,intercept_unconditional_payoff_baseline,y_payoff_h20,664,41,,,,,diagnostic_readout
train,volatility20d_defense_baseline,y_payoff_h20,20245,652,0.03591024082607433,0.03591024082607433,0.0,,train_in_sample
robustness,volatility20d_defense_baseline,y_payoff_h20,2496,204,0.06477154990610473,0.06477154990610473,0.0,,diagnostic_readout
validation,volatility20d_defense_baseline,y_payoff_h20,664,41,-0.03308531064949008,-0.03308531064949008,0.0,,diagnostic_readout
