candidate_id,candidate_family,split,event_count,raw_trigger_count,suppressed_by_collapse_count,complete_event_count,complete_event_share,hold20_net_mean,hold20_net_median,hold20_net_p10,loss_le_5_rate
low_vol_uptrend_preflight,low_vol_uptrend,train,1116,13967,12851,1095,0.9811827956989247,0.0008105010370031608,-0.01022996377943319,-0.09874062725276685,0.2648401826484018
low_vol_uptrend_preflight,low_vol_uptrend,validation,574,7390,6816,556,0.9686411149825784,-0.007154134896609775,-0.013605366247037062,-0.09456931445873573,0.26258992805755393
low_vol_uptrend_preflight,low_vol_uptrend,robustness,976,13678,12702,950,0.9733606557377049,0.008110028627090562,0.0032902274385674434,-0.068276996591063,0.18736842105263157
base_breakout_vcp_preflight,base_breakout_vcp,train,99,121,22,95,0.9595959595959596,0.01367563039400899,0.00020155546884160092,-0.08968133611072748,0.16842105263157894
base_breakout_vcp_preflight,base_breakout_vcp,validation,73,91,18,70,0.958904109589041,0.010002722091479767,-0.014663267890137218,-0.0760572869843004,0.2
base_breakout_vcp_preflight,base_breakout_vcp,robustness,123,164,41,120,0.975609756097561,0.019016673039425332,0.010629029152451234,-0.08038930109459534,0.175
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,train,1444,19212,17768,1412,0.9778393351800554,0.0007950849966638421,-0.009166751562145022,-0.09202773189708793,0.2535410764872521
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,validation,810,10930,10120,778,0.9604938271604938,-0.015184565740774786,-0.018300758948377013,-0.09244230825872765,0.2763496143958869
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,robustness,1238,18052,16814,1198,0.9676898222940227,0.008750704352508888,0.002400400676850882,-0.07030612892604246,0.17696160267111852
