candidate_id,candidate_family,split,event_count,entry_unavailable_after_lag_count,entry_limit_up_block_count,exit_unavailable_after_lag_count,exit_limit_down_block_count,split_boundary_exit_out_of_split_count,complete_event_count,complete_event_share,execution_audit_status,blocking_reason
low_vol_uptrend_preflight,low_vol_uptrend,train,1116,0,1,2,1,19,1095,0.9811827956989247,passed,
low_vol_uptrend_preflight,low_vol_uptrend,validation,574,0,0,0,1,18,556,0.9686411149825784,passed,
low_vol_uptrend_preflight,low_vol_uptrend,robustness,976,0,0,3,1,23,950,0.9733606557377049,passed,
base_breakout_vcp_preflight,base_breakout_vcp,train,99,0,0,0,0,4,95,0.9595959595959596,passed,
base_breakout_vcp_preflight,base_breakout_vcp,validation,73,0,0,0,0,3,70,0.958904109589041,passed,
base_breakout_vcp_preflight,base_breakout_vcp,robustness,123,0,0,0,0,3,120,0.975609756097561,passed,
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,train,1444,0,1,0,1,32,1412,0.9778393351800554,passed,
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,validation,810,0,1,0,0,32,778,0.9604938271604938,passed,
cross_sectional_low_beta_low_vol_preflight,cross_sectional_low_beta_low_vol,robustness,1238,0,4,1,0,39,1198,0.9676898222940227,passed,
