scored_model_id,model_family_id,fit_id,split_scope,return_semantics,scheduled_month_n,evaluable_month_n,mean_security_rank_ic,median_security_rank_ic,std_security_rank_ic,minimum_security_rank_ic,maximum_security_rank_ic,security_rank_ic_positive_month_rate,HAC_t_stat,HAC_p_value,aggregate_bucket_mean_spearman,adjacent_order_count,adjacent_order_rate,strict_monotonic_curve,D10_minus_D1,D10_minus_middle,maximum_adjacent_inversion,mean_monthly_bucket_spearman,median_monthly_bucket_spearman,monthly_bucket_spearman_positive_rate,mean_monthly_adjacent_order_rate,median_monthly_D10_minus_D1,absolute_return_positivity_used_in_gate,inference_role,D1_curve,D2_curve,D3_curve,D4_curve,D5_curve,D6_curve,D7_curve,D8_curve,D9_curve,D10_curve
A1_P4_PATH_ONLY,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit,robustness_early,project_all_resolved_strict_sensitivity,10,4,-0.0236039069557,-0.051040939379,0.0977504593521,-0.100920246582,0.108586497517,0.25,-0.910101322485,0.362769077192,-0.224242424242,4,0.444444444444,False,-0.0028604542896,-0.0068308257923,0.0200184042218,-0.112121212121,-0.218181818182,0.25,0.5,-0.00665457696538,False,design_contaminated_historical_diagnostic,-0.00288901467534,0.014474738684,-0.00554366553781,-0.000722125642121,0.0027171783085,-0.000244590645974,-0.00369902365752,0.00383628074348,-0.00216793763365,-0.00574946896494
A1_P4_PATH_ONLY,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit,robustness_early,project_known_only_primary,10,10,-0.0239659255203,-0.0916846386358,0.212214370852,-0.352237527281,0.423228455224,0.3,-0.519638738808,0.603315392382,-0.854545454545,3,0.333333333333,False,-0.0112860467711,-0.000500416558525,0.0115108585365,-0.181818181818,-0.315151515152,0.3,0.488888888889,-0.00665457696538,False,design_contaminated_historical_diagnostic,0.0097368360768,0.0058243662906,0.00427424752253,0.000970001643163,-0.000390692252071,-0.00293219738875,-0.00283949530493,-0.000892862530079,-0.0124037210665,-0.00154921069429
A2_CROSS_SIGNALS_WITHOUT_P4,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit,robustness_early,project_all_resolved_strict_sensitivity,10,4,0.0765382426849,0.131560874665,0.291576597523,-0.307820157546,0.350851378956,0.75,0.905424926158,0.365240315439,0.030303030303,5,0.555555555556,False,0.00413053672692,0.00252546035585,0.0168633455464,0.115151515152,0.218181818182,0.5,0.472222222222,0.0059089868191,False,design_contaminated_historical_diagnostic,-0.00172239790453,0.00676453201501,0.00902413990151,-0.00783920564493,-0.00827054501722,-0.0070793606959,-0.00140089982722,0.00508242181591,0.00278034518511,0.00240813882238
A2_CROSS_SIGNALS_WITHOUT_P4,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit,robustness_early,project_known_only_primary,10,10,0.12488232933,0.246321746936,0.234941417151,-0.307820157546,0.350851378956,0.8,2.94847630241,0.00319344622198,0.648484848485,7,0.777777777778,False,0.0226988042726,0.00645201992386,0.00507771379613,0.266666666667,0.648484848485,0.7,0.533333333333,0.0391149552435,False,design_contaminated_historical_diagnostic,-0.0152302668389,0.00014371356664,0.00313432982653,-0.0019433839696,-0.00029915547606,-0.00437442901166,-0.000757474391302,0.00556150085059,0.00666703868344,0.00746853743368
B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,robustness_early,project_all_resolved_strict_sensitivity,10,4,-0.0394288698252,-0.0497593430147,0.0510171549468,-0.0898111663423,0.0316143730708,0.25,-3.6910043847,0.000223370286567,-0.0181818181818,5,0.555555555556,False,-0.00802205313128,-0.0104688027179,0.0203959519289,-0.172727272727,-0.290909090909,0.25,0.5,-0.00745656857637,False,design_contaminated_historical_diagnostic,-0.00117175121226,-0.002447580891,0.0138930706559,-0.00650288127295,-0.000933518491948,-0.00272127375236,-0.00110118320914,0.0034365276596,0.00657682629664,-0.00919380434354
B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,robustness_early,project_known_only_primary,10,10,-0.0694445190293,-0.0631332591432,0.180038548601,-0.462350551836,0.208370528066,0.3,-1.82137201868,0.0685503256224,-0.721212121212,4,0.444444444444,False,-0.0228691413383,-0.0138517794653,0.0151445102573,-0.206060606061,-0.290909090909,0.3,0.488888888889,-0.00745656857637,False,design_contaminated_historical_diagnostic,0.00949004042975,0.0138142353621,0.0101904019988,-0.00495410825857,0.0035267753293,-0.00695506121204,-0.00390182914233,-0.00364676529182,-0.00429222033135,-0.0133791009085
N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,robustness_early,project_all_resolved_strict_sensitivity,10,4,0.0102197858728,0.0100336809609,0.0484453396449,-0.0365050746317,0.0573168562011,0.5,0.860532763463,0.389495431122,0.284848484848,5,0.555555555556,False,0.0042992784763,0.00491146831271,0.0123120051217,0.0575757575758,0.030303030303,0.5,0.5,-0.00485642971527,False,design_contaminated_historical_diagnostic,5.82018848625e-05,-0.00463817794266,8.9658595729e-05,0.0118990002429,-0.00041300487886,-0.01062736949,-0.00516107824604,0.00364635395126,0.000772714155325,0.00435748036116
N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,robustness_early,project_known_only_primary,10,10,-0.0102420770457,-0.0138240775256,0.0444408898545,-0.0727704364249,0.0573168562011,0.4,-0.919831657847,0.357660737038,-0.321212121212,4,0.444444444444,False,-0.00539154526714,0.00296711779265,0.0122524559153,-0.0775757575758,-0.157575757576,0.4,0.488888888889,-0.0157370543726,False,design_contaminated_historical_diagnostic,0.00721929471461,-0.00503316120072,0.00449726950149,0.00417760513952,0.00133925882258,-0.00964862366521,-0.00216417351053,-0.0028585036016,0.000575381753074,0.00182774944747
S0_SELECTED_FULL,M1_RIDGE_RANK_REGRESSION,selected_full_refit,robustness_early,project_all_resolved_strict_sensitivity,10,4,0.0503869286856,0.130068544745,0.243445467609,-0.295483585006,0.236894210259,0.75,0.765884352714,0.443745117055,-0.115151515152,4,0.444444444444,False,-0.00914124849249,0.00111641204599,0.0146628489477,0.030303030303,0.10303030303,0.5,0.472222222222,0.00607855176185,False,design_contaminated_historical_diagnostic,0.00911914462719,-0.00554370432049,0.0063681154824,0.00143334935462,-0.00763430361141,-0.00415767883961,-0.00953155659902,0.0101312853855,-0.000173634142358,-2.21038653016e-05
S0_SELECTED_FULL,M1_RIDGE_RANK_REGRESSION,selected_full_refit,robustness_early,project_known_only_primary,10,10,0.0929770912716,0.174417012424,0.240997539732,-0.295483585006,0.423772618088,0.7,2.2073075703,0.0272925787805,0.345454545455,4,0.444444444444,False,0.00895457417587,0.00249453319417,0.0121771932144,0.126060606061,0.345454545455,0.6,0.522222222222,0.025996517314,False,design_contaminated_historical_diagnostic,-0.00606660205996,0.00188870961762,-0.000948335750094,0.00526746146526,-0.00690973174914,-0.000971352806787,-0.00681965273872,0.00869431151074,0.00294610182511,0.00288797211592
A1_P4_PATH_ONLY,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit,robustness_late,project_all_resolved_strict_sensitivity,11,5,0.0622596894967,0.10845422053,0.176819255304,-0.152140451831,0.304689465011,0.6,1.3717444189,0.170143015342,0.806060606061,5,0.555555555556,False,0.0174554342088,0.011158577077,0.0100030822513,0.260606060606,0.515151515152,0.6,0.555555555556,0.0250707651735,False,design_contaminated_historical_diagnostic,-0.00675293330413,-0.00261653929405,-0.0126196215453,-0.0128975277778,-0.00543277095535,0.00606131916264,0.00613712414179,0.00410978269425,0.0136096241945,0.0107025009046
A1_P4_PATH_ONLY,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit,robustness_late,project_known_only_primary,11,11,0.0473564585783,0.10845422053,0.191076431228,-0.195783768053,0.304689465011,0.545454545455,1.09024462541,0.275605400561,0.793939393939,5,0.555555555556,False,0.0167408343081,-0.00123864582466,0.0231321688718,0.222038567493,0.515151515152,0.545454545455,0.535353535354,0.0250707651735,False,design_contaminated_historical_diagnostic,-0.0160247072878,-0.00826329440438,-0.00901702441573,-0.009678779278,-0.000640924414179,0.00590670926338,0.008691849775,0.00479135034123,0.0238482958921,0.000716127020264
A2_CROSS_SIGNALS_WITHOUT_P4,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit,robustness_late,project_all_resolved_strict_sensitivity,11,5,-0.0791731424154,-0.114952982348,0.295442570905,-0.407101231893,0.395930256951,0.2,-1.07050417328,0.284392431513,-0.878787878788,3,0.333333333333,False,-0.0652056353833,-0.0424727081994,0.0348328947765,-0.396363636364,-0.6,0.2,0.444444444444,-0.0655230062778,False,design_contaminated_historical_diagnostic,0.024703395087,0.023210225984,-0.00216197477376,0.00926208709722,0.00988163906736,0.00463018963879,-0.00781886174892,-0.0155702165203,-0.0056693455198,-0.0405022402963
A2_CROSS_SIGNALS_WITHOUT_P4,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit,robustness_late,project_known_only_primary,11,11,-0.0312112827678,-0.107514331995,0.255564978233,-0.407101231893,0.395930256951,0.363636363636,-0.497078183653,0.6191339185,-0.866666666667,4,0.444444444444,False,-0.0462608559581,-0.0302784945442,0.0201272099095,-0.305785123967,-0.6,0.272727272727,0.414141414141,-0.046754187971,False,design_contaminated_historical_diagnostic,0.0174423021034,0.0174446851985,0.00336887210729,0.00660598295054,0.00651568382543,0.0077582298848,-0.00785215631824,-0.0134704281866,-0.00869134394514,-0.0288185538547
B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,robustness_late,project_all_resolved_strict_sensitivity,11,5,0.0458690365812,0.152475668324,0.212547475922,-0.228024530936,0.235343397122,0.6,1.18187999758,0.237253319746,0.793939393939,6,0.666666666667,False,0.0236347168242,0.00432703530652,0.0219848699194,0.229090909091,0.818181818182,0.6,0.511111111111,0.0384465688681,False,design_contaminated_historical_diagnostic,-0.017786257057,-0.00888398564566,-0.0172409388159,-0.0148693120464,0.000499275510868,0.0155467188191,0.0180110705032,-0.00397379941619,0.023082366776,0.00584845976714
B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,robustness_late,project_known_only_primary,11,11,0.0491879579079,0.152475668324,0.227344877978,-0.250254880322,0.338832823669,0.545454545455,1.09630014157,0.272947447472,0.793939393939,6,0.666666666667,False,0.0325038321128,0.00700121833519,0.017674978213,0.212121212121,0.818181818182,0.545454545455,0.545454545455,0.0384465688681,False,design_contaminated_historical_diagnostic,-0.0236231782646,-0.0077360062201,-0.0148020232652,-0.0136063579042,0.00471427117867,0.0140587847811,0.0160996419812,-0.00157533623181,0.0178825097842,0.00888065384818
N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,robustness_late,project_all_resolved_strict_sensitivity,11,5,0.0219164318309,0.0263183799265,0.0597804164076,-0.0561340087039,0.108799419792,0.6,1.26899543527,0.204442692119,0.00606060606061,3,0.333333333333,False,0.00540361655561,-0.00133036464883,0.0106800444813,0.0109090909091,-0.0909090909091,0.2,0.466666666667,0.00431267007595,False,design_contaminated_historical_diagnostic,-0.00593459539849,0.00944954342649,0.00107199294476,0.00103264654284,0.0010598340491,-0.00962021043223,-0.010851223432,0.0103818712184,0.00387063213033,-0.000530978842877
N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,robustness_late,project_known_only_primary,11,11,-0.0146604644052,-0.0160470476724,0.0566356476932,-0.103348428974,0.108799419792,0.272727272727,-0.817936849199,0.413393247772,-0.430303030303,3,0.333333333333,False,-0.00872496098333,-0.00271144623013,0.014619228489,-0.154820936639,-0.139393939394,0.181818181818,0.424242424242,0.00339884864464,False,design_contaminated_historical_diagnostic,0.00564374770589,0.00922141659587,0.000295846832623,-0.00320982273681,-0.00364772487963,0.00273423694737,-0.0118849915416,0.00362985359913,-9.69511954671e-05,-0.00308121327744
S0_SELECTED_FULL,M1_RIDGE_RANK_REGRESSION,selected_full_refit,robustness_late,project_all_resolved_strict_sensitivity,11,5,-0.0290058681161,-0.0168525045963,0.2256112359,-0.310304632832,0.312316029644,0.2,-0.567702657798,0.570236886559,-0.587878787879,4,0.444444444444,False,-0.0576333185862,-0.035426453538,0.028168641309,-0.180606060606,-0.381818181818,0.4,0.488888888889,-0.0487383071671,False,design_contaminated_historical_diagnostic,0.0235033623119,-0.00466527899714,0.000405716326817,-0.000647416963949,0.0102950310333,0.00904285564158,0.0119885257607,-0.0100186812223,-0.00602877346979,-0.0341299562744
S0_SELECTED_FULL,M1_RIDGE_RANK_REGRESSION,selected_full_refit,robustness_late,project_known_only_primary,11,11,-0.000569258629814,-0.014007628154,0.182930800007,-0.310304632832,0.312316029644,0.454545454545,-0.0116520089522,0.990703252324,-0.624242424242,3,0.333333333333,False,-0.0376343550112,-0.0230695393892,0.0151508700321,-0.0633608815427,0.030303030303,0.545454545455,0.474747474747,-0.0207801654319,False,design_contaminated_historical_diagnostic,0.0153728850383,0.00253911663696,0.00101988781839,0.00093324070114,0.00361981508055,0.0050099077249,0.00658070768849,-0.00612752037866,-0.00711059994078,-0.0222614699729
