challenger_scored_model_id,baseline_scored_model_id,split_scope,common_month_n,common_instrument_month_n,metric_id,challenger_value,baseline_value,paired_delta,delta_direction_favorable
A1_P4_PATH_ONLY,B0_P4_RAW_RANK,robustness_early,10,9283,aggregate_bucket_mean_spearman,-0.854545454545,-0.721212121212,-0.133333333333,False
A1_P4_PATH_ONLY,B0_P4_RAW_RANK,robustness_early,10,9283,adjacent_order_rate,0.333333333333,0.444444444444,-0.111111111111,False
A1_P4_PATH_ONLY,B0_P4_RAW_RANK,robustness_early,10,9283,mean_security_rank_ic,-0.0239659255203,-0.0694445190293,0.045478593509,True
A1_P4_PATH_ONLY,B0_P4_RAW_RANK,robustness_early,10,9283,D10_minus_D1,-0.0112860467711,-0.0228691413383,0.0115830945672,True
A2_CROSS_SIGNALS_WITHOUT_P4,B0_P4_RAW_RANK,robustness_early,10,9283,aggregate_bucket_mean_spearman,0.648484848485,-0.721212121212,1.3696969697,True
A2_CROSS_SIGNALS_WITHOUT_P4,B0_P4_RAW_RANK,robustness_early,10,9283,adjacent_order_rate,0.777777777778,0.444444444444,0.333333333333,True
A2_CROSS_SIGNALS_WITHOUT_P4,B0_P4_RAW_RANK,robustness_early,10,9283,mean_security_rank_ic,0.12488232933,-0.0694445190293,0.194326848359,True
A2_CROSS_SIGNALS_WITHOUT_P4,B0_P4_RAW_RANK,robustness_early,10,9283,D10_minus_D1,0.0226988042726,-0.0228691413383,0.0455679456109,True
N0_HASH_NULL,B0_P4_RAW_RANK,robustness_early,10,9283,aggregate_bucket_mean_spearman,-0.321212121212,-0.721212121212,0.4,True
N0_HASH_NULL,B0_P4_RAW_RANK,robustness_early,10,9283,adjacent_order_rate,0.444444444444,0.444444444444,0,False
N0_HASH_NULL,B0_P4_RAW_RANK,robustness_early,10,9283,mean_security_rank_ic,-0.0102420770457,-0.0694445190293,0.0592024419836,True
N0_HASH_NULL,B0_P4_RAW_RANK,robustness_early,10,9283,D10_minus_D1,-0.00539154526714,-0.0228691413383,0.0174775960711,True
S0_SELECTED_FULL,B0_P4_RAW_RANK,robustness_early,10,9283,aggregate_bucket_mean_spearman,0.345454545455,-0.721212121212,1.06666666667,True
S0_SELECTED_FULL,B0_P4_RAW_RANK,robustness_early,10,9283,adjacent_order_rate,0.444444444444,0.444444444444,0,False
