scored_model_id,split,decision_date,prior_decision_date,D10_member_n,prior_D10_member_n,overlap_n,one_way_top_bucket_turnover,turnover_finite,exclusion_reason,model_family_id,fit_id
A1_P4_PATH_ONLY,robustness,2024-07-31,,43,,,,False,no_prior_scheduled_month,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2024-08-30,2024-07-31,43,43,36,0.162790697674,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2024-09-30,2024-08-30,44,43,27,0.386363636364,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2024-10-31,2024-09-30,44,44,33,0.25,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2024-11-29,2024-10-31,44,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2024-12-31,2024-11-29,44,44,32,0.272727272727,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-01-27,2024-12-31,43,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-02-28,2025-01-27,44,43,28,0.363636363636,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-03-31,2025-02-28,44,44,36,0.181818181818,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-04-30,2025-03-31,44,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-05-30,2025-04-30,44,44,37,0.159090909091,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-06-30,2025-05-30,44,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-07-31,2025-06-30,44,44,32,0.272727272727,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-08-29,2025-07-31,44,44,34,0.227272727273,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-09-30,2025-08-29,44,44,33,0.25,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-10-31,2025-09-30,44,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-11-28,2025-10-31,44,44,34,0.227272727273,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2025-12-31,2025-11-28,44,44,31,0.295454545455,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2026-01-30,2025-12-31,44,44,31,0.295454545455,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2026-02-27,2026-01-30,44,44,33,0.25,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A1_P4_PATH_ONLY,robustness,2026-03-31,2026-02-27,44,44,32,0.272727272727,True,,M1_RIDGE_RANK_REGRESSION,A1_p4_path_only_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-07-31,,43,,,,False,no_prior_scheduled_month,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-08-30,2024-07-31,43,43,9,0.790697674419,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-09-30,2024-08-30,44,43,6,0.863636363636,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-10-31,2024-09-30,44,44,12,0.727272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-11-29,2024-10-31,44,44,13,0.704545454545,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2024-12-31,2024-11-29,44,44,17,0.613636363636,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-01-27,2024-12-31,43,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-02-28,2025-01-27,44,43,11,0.75,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-03-31,2025-02-28,44,44,14,0.681818181818,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-04-30,2025-03-31,44,44,14,0.681818181818,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-05-30,2025-04-30,44,44,19,0.568181818182,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-06-30,2025-05-30,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-07-31,2025-06-30,44,44,29,0.340909090909,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-08-29,2025-07-31,44,44,25,0.431818181818,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-09-30,2025-08-29,44,44,25,0.431818181818,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-10-31,2025-09-30,44,44,22,0.5,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
