operating_point_id,score_source_column,cutoff_source_split,cutoff_quantile,train_score_cutoff_value,learned_defend_rule,learned_continue_rule,decision_role,train_defended_n,train_defended_rate,robustness_defended_n,robustness_defended_rate,validation_defended_n,validation_defended_rate,split_local_threshold_recompute_used,operating_point_freeze_gate,blocking_reason
defend_bottom10_continue_rest,ridge_payoff_rank_h20_v1_score,train,0.1,-0.0074545114427203565,ridge_payoff_rank_h20_v1_score <= train_score_q10_cutoff,not learned_defend_flag,diagnostic_conservative,2025,0.10002469745616202,444,0.1778846153846154,74,0.11144578313253012,False,pass,
defend_bottom20_continue_rest,ridge_payoff_rank_h20_v1_score,train,0.2,0.002062928954108207,ridge_payoff_rank_h20_v1_score <= train_score_q20_cutoff,not learned_defend_flag,diagnostic_conservative,4049,0.2,777,0.3112980769230769,135,0.2033132530120482,False,pass,
defend_bottom30_continue_rest,ridge_payoff_rank_h20_v1_score,train,0.3,0.00839556886429728,ridge_payoff_rank_h20_v1_score <= train_score_q30_cutoff,not learned_defend_flag,primary,6074,0.300024697456162,1101,0.4411057692307692,185,0.2786144578313253,False,pass,
defend_bottom40_continue_rest,ridge_payoff_rank_h20_v1_score,train,0.4,0.013989970771822374,ridge_payoff_rank_h20_v1_score <= train_score_q40_cutoff,not learned_defend_flag,diagnostic_aggressive,8098,0.4,1348,0.5400641025641025,261,0.3930722891566265,False,pass,
defend_bottom50_continue_rest,ridge_payoff_rank_h20_v1_score,train,0.5,0.019201922486292097,ridge_payoff_rank_h20_v1_score <= train_score_q50_cutoff,not learned_defend_flag,diagnostic_aggressive,10123,0.5000246974561621,1607,0.6438301282051282,333,0.5015060240963856,False,pass,
continue_top30_defend_rest,ridge_payoff_rank_h20_v1_score,train,0.7,0.030461405978477664,ridge_payoff_rank_h20_v1_score < train_score_q70_cutoff,not learned_defend_flag,over_narrow_stress,14171,0.699975302543838,2056,0.8237179487179487,464,0.6987951807228916,False,pass,
continue_top20_defend_rest,ridge_payoff_rank_h20_v1_score,train,0.8,0.037933197709880094,ridge_payoff_rank_h20_v1_score < train_score_q80_cutoff,not learned_defend_flag,over_narrow_stress,16196,0.8,2228,0.8926282051282052,533,0.802710843373494,False,pass,
continue_top10_defend_rest,ridge_payoff_rank_h20_v1_score,train,0.9,0.049651669640963784,ridge_payoff_rank_h20_v1_score < train_score_q90_cutoff,not learned_defend_flag,top10_over_narrow_stress_only,18220,0.899975302543838,2398,0.9607371794871795,607,0.9141566265060241,False,pass,
