split_bucket,denominator_type,operating_point_id,decision_role,row_n,episode_cluster_n,defended_n,continued_n,defended_rate,learned_mean_incremental_return,learned_sum_incremental_return,mean_continue_value,mean_defend_value_on_defended_rows,mean_defend_advantage_on_defended_rows,defended_positive_incremental_return,defended_negative_incremental_return,defended_neutral_incremental_return,residual_reconciliation_term,positive_sacrifice_to_avoidance_ratio,top30_payoff_retention_rate,top20_payoff_retention_rate,neutral_row_n,neutral_contribution_mean,utility_bridge_status,blocking_reason
train,labelable_full,defend_bottom10_continue_rest,diagnostic_conservative,20245,652,2025,18220,0.10002469745616202,0.0014433931138790022,29.2214935904804,0.020421700509241556,-0.005,0.01443036720517551,-0.004172195411293339,0.004746267299430604,0.0008693212257417367,6.505213034913027e-19,0.7086924015783043,0.928395061728395,0.9278834280069153,5283,0.0008693212257417367,pass,
robustness,labelable_full,defend_bottom10_continue_rest,diagnostic_conservative,2496,204,444,2052,0.1778846153846154,-0.003598523071216938,-8.981913585757477,0.0348776146219519,-0.004999999999999999,-0.02022953510305738,-0.009801054943996223,0.004533867555980295,0.0016686643167989894,8.673617379884035e-19,1.3643155077154674,0.8603286384976526,0.8481228668941979,624,0.0016686643167989894,pass,
validation,labelable_full,defend_bottom10_continue_rest,diagnostic_conservative,664,41,74,590,0.11144578313253012,0.0023112422529593985,1.5346648559650407,0.026294033281092043,-0.005,0.02073871426979785,-0.005171515894537389,0.006103963826999909,0.001378794320496879,-4.336808689942018e-19,0.6879928316214615,0.9339622641509434,0.9379310344827586,159,0.001378794320496879,pass,
train,labelable_full,defend_bottom20_continue_rest,diagnostic_conservative,20245,652,4049,16196,0.2,0.0014717283120136407,29.795139676716154,0.020421700509241556,-0.005,0.007358641560068204,-0.008431890935890578,0.007952285863765982,0.001951333384138237,-8.673617379884035e-19,0.8174328320338379,0.8515226337448559,0.8557668560138306,5283,0.001951333384138237,pass,
robustness,labelable_full,defend_bottom20_continue_rest,diagnostic_conservative,2496,204,777,1719,0.3112980769230769,-0.006463876585538004,-16.133835957502857,0.0348776146219519,-0.005,-0.02076426764157382,-0.016998175324084777,0.00789550918221,0.0026387895563367725,0.0,1.4367895546676595,0.7453051643192489,0.7508532423208191,624,0.0026387895563367725,pass,
validation,labelable_full,defend_bottom20_continue_rest,diagnostic_conservative,664,41,135,529,0.2033132530120482,0.0016805468927873954,1.1158831368108306,0.026294033281092043,-0.005,0.008265801013413558,-0.010354232637422151,0.009888763279121526,0.002146016251088022,-1.734723475976807e-18,0.8544719449993528,0.8584905660377359,0.8551724137931035,159,0.002146016251088022,pass,
train,labelable_full,defend_bottom30_continue_rest,primary,20245,652,6074,14171,0.300024697456162,0.00010438667114471951,2.1133081573248464,0.020421700509241556,-0.004999999999999999,0.00034792692744893664,-0.013569881565720917,0.010763025897535021,0.0029112423393306158,-2.981555974335137e-19,0.9545285799816353,0.7631275720164609,0.7673499629538157,5283,0.0029112423393306158,pass,
robustness,labelable_full,defend_bottom30_continue_rest,primary,2496,204,1101,1395,0.4411057692307692,-0.010551683894078217,-26.33700299961923,0.0348776146219519,-0.004999999999999999,-0.023920983650880315,-0.025077440494992713,0.010494691775353969,0.004031064825560528,0.0,1.5688183499050046,0.6255868544600939,0.636518771331058,624,0.004031064825560528,pass,
validation,labelable_full,defend_bottom30_continue_rest,primary,664,41,185,479,0.2786144578313253,-0.0016054892535978056,-1.0660448643889429,0.026294033281092043,-0.004999999999999999,-0.0057624046723726615,-0.016572313472391565,0.012068691504615446,0.002898132714178313,2.168404344971009e-19,1.0985396664300173,0.7877358490566038,0.7724137931034483,159,0.002898132714178313,pass,
train,labelable_full,defend_bottom40_continue_rest,diagnostic_aggressive,20245,652,8098,12147,0.4,-0.0016190172636300112,-32.77700450218958,0.020421700509241556,-0.005,-0.004047543159075028,-0.018572983660730687,0.013013914333074224,0.003940052064026451,2.168404344971009e-19,1.0490281753942108,0.6755555555555556,0.6814028155100025,5283,0.003940052064026451,pass,
