,,risk
excess_return_without_cost,mean,0.0012627081789253155
excess_return_without_cost,std,0.008204248674974999
excess_return_without_cost,annualized_return,0.3005245465842251
excess_return_without_cost,information_ratio,2.374393290989735
excess_return_without_cost,max_drawdown,-0.10389489062040302
excess_return_with_cost,mean,0.0011419981125569108
excess_return_with_cost,std,0.00820426993805284
excess_return_with_cost,annualized_return,0.2717955507885448
excess_return_with_cost,information_ratio,2.14740481964029
excess_return_with_cost,max_drawdown,-0.10572394736683943
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0019400813340827094
strategy_return_without_cost,std,0.014727886924554161
strategy_return_without_cost,annualized_return,0.4617393575116848
strategy_return_without_cost,information_ratio,2.032207148132477
strategy_return_without_cost,max_drawdown,-0.1707332742950246
strategy_return_with_cost,mean,0.001819371267714305
strategy_return_with_cost,std,0.014726658565765886
strategy_return_with_cost,annualized_return,0.43301036171600454
strategy_return_with_cost,information_ratio,1.90592405974197
strategy_return_with_cost,max_drawdown,-0.17256233104146107
