split,seed_family_id,reference_type,big_winner_reference_count,captured_big_winner_count,missed_big_winner_count,primary_big_winner_seed_recall,bridge_ep2_big_winner_seed_recall,late_capture_0_to_10_count,seed_recall_diff_vs_ep2_detector
train,ep4_money_rps5_boll20_high10_seed_v0,primary_big_winner_50h120_close_confirmed,446,178,268,0.3991031390134529,,0,0.15022421524663676
train,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,446,111,335,0.24887892376681614,,0,0.0
validation,ep4_money_rps5_boll20_high10_seed_v0,primary_big_winner_50h120_close_confirmed,158,39,119,0.2468354430379747,,0,0.13924050632911394
validation,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,158,17,141,0.10759493670886076,,0,0.0
robustness,ep4_money_rps5_boll20_high10_seed_v0,primary_big_winner_50h120_close_confirmed,241,75,166,0.3112033195020747,,0,0.11618257261410789
robustness,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,241,47,194,0.1950207468879668,,0,0.0
