split,seed_episode_id,instrument,exit_trigger_type,exit_signal_date,exit_execution_date,holding_days,return_r,loss_r,audit_only_status
train,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20180720_4766f7edd0,SH600000,t10_close_below_entry_price,2018-08-03,2018-08-06,11,-0.030063902211861466,0.030063902211861466,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20190225_64981b734b,SH600000,t10_close_below_entry_price,2019-03-11,2019-03-12,11,-0.12862582556405847,0.12862582556405847,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20190416_a3c4e04b8f,SH600000,close_below_breakout_reference,2019-04-22,2019-04-23,5,-0.42388047334916007,0.42388047334916007,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20191011_f4d69d36e7,SH600000,natural_exit_h20,2019-11-11,2019-11-12,22,-0.17577121231439755,0.17577121231439755,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20200702_562526aacb,SH600000,natural_exit_h20,2020-07-31,2020-08-03,22,-0.17511886268348775,0.17511886268348775,report_only
robustness,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20240430_202d0ad2e2,SH600000,natural_exit_h20,2024-06-03,2024-06-04,22,0.359379642649071,0.0,report_only
robustness,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20240717_1ed9396073,SH600000,close_below_breakout_reference,2024-07-24,2024-07-25,6,-0.3491065060541746,0.3491065060541746,report_only
robustness,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20240924_c455f4f029,SH600000,natural_exit_h20,2024-10-30,2024-10-31,22,0.2599152144317064,0.0,report_only
robustness,ep4_money_rps5_boll20_high10_seed_v0_SH600000_20251229_fa78631de5,SH600000,close_below_breakout_reference,2026-01-05,2026-01-06,4,-0.3817592133225687,0.3817592133225687,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600009_20171030_b4a9017c4f,SH600009,natural_exit_h20,2017-11-28,2017-11-29,22,-0.08264694813263757,0.08264694813263757,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600009_20190225_7c4a165fd7,SH600009,close_below_seed_day_low|close_below_breakout_reference,2019-02-26,2019-02-27,2,-0.40523849358699376,0.40523849358699376,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600009_20200423_33133824b9,SH600009,close_below_breakout_reference|t10_close_below_entry_price,2020-05-12,2020-05-13,11,-0.316845529828094,0.316845529828094,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600009_20200529_12b59f73a5,SH600009,natural_exit_h20,2020-07-01,2020-07-02,22,-0.04812697945016502,0.04812697945016502,report_only
train,ep4_money_rps5_boll20_high10_seed_v0_SH600009_20210603_206b6fd668,SH600009,close_below_seed_day_low|close_below_breakout_reference,2021-06-07,2021-06-08,3,-0.5940976446468677,0.5940976446468677,report_only
