artifact_name,path,exists,sha256,status
ep4_discussion,ep4/discussion.md,True,8c3e4a4721a0cc7272d3b6f45ff0a22e409bc89505820b7bf22bc7ed5d10e5f6,passed
ep4_requirement,ep4/requirement_01_high_recall_probe_fail_fast_v2.md,True,e2c4ca1646a624524b7e374921d4d34bc4fdf38d5f1cb8851e7a6a6d12d05e34,passed
ep2_manifest,ep2/engineering_baseline/outputs/manifests/ep2_engineering_baseline_manifest.json,True,f10d04cbd28addad275f07c771a41eb4c7aa835dfc0cc25bc3361d13563e8996,passed
ep2_config,ep2/engineering_baseline/config.yaml,True,02c64d1c90fb2344247f732e7935738bae17542f67442db3758ddcc0f4c6f492,passed
ep2_launch_pool,ep2/engineering_baseline/outputs/cache/ep2_launch_observation_pool.parquet,True,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed,passed
ep2_episode_dictionary,ep2/engineering_baseline/outputs/reports/ep2_launch_episode_dictionary.csv,True,acc6dbc8e4a1b9e0ad89d2017b7f2db2efdbc09beb212fdf9d3e4500da1beaab,passed
ep2_label_freeze_candidate,ep2/engineering_baseline/outputs/reports/ep2_label_freeze_candidate.csv,True,c67d0809e85f7406c4b6eae051d71bd74fb457420e604a791c17da91ac51b401,passed
ep2_baseline_freeze_audit,ep2/outputs/requirement_01_label_and_baseline_freeze/reports/requirement_01_baseline_freeze_audit.csv,True,20effa499f066133b83b7db44faf6c0d870cae25e48f243ba467d85d472803eb,passed
qlib_provider_uri,data/qlib/cn_data_pit,True,,passed
trading_calendar,data/qlib/cn_data_pit/calendars/day.txt,True,b01cae7c1ea91933e7daddfc5c71847ee5cd5b26d6c49583b95fec4e49e590ad,passed
pit_universe,data/universe/pit_mcap500_mainboard_daily.csv,True,33e037afb7f75c2f64ff6a7a6f205f164f1ba90d61b09976b670c9d3930a3a80,passed
pit_qlib_instrument_universe,data/universe/pit_qlib_instrument_universe.csv,True,130fb70caa6c0930728af9981e973161e23ee5eac33135b73a130194258835b7,passed
pit_industry,data/targets/pit_industry_membership.csv,True,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,passed
qlib_instrument_path,data/qlib/cn_data_pit/instruments/pit_mcap500_mainboard.txt,True,64510858d1833d469956abdbd182b60ca40bfb3b89407a42c40e95ba7468106d,passed
