split,candidate_total_failed_loss_r,ep2_total_failed_loss_r,incremental_abs_failed_loss_r_vs_ep2,candidate_captured_reference_count,ep2_captured_reference_count,overlap_captured_reference_count,added_capture_vs_ep2_count,lost_capture_vs_ep2_count,net_added_capture_vs_ep2_count,late_capture_0_to_10_count,recall_cost_score,incremental_loss_r_per_added_big_winner_vs_ep2,incremental_exposure_days_per_added_big_winner_vs_ep2,max_allowed_incremental_loss_r_per_added_big_winner_vs_ep2,max_allowed_incremental_exposure_days_per_added_big_winner_vs_ep2,decision_support_status
train,321.5907916767235,162.14694244670844,159.44384923001505,209,147,114,95,33,62,0,0.3888516258194336,2.571674987580888,194.3709677419355,5.0,250.0,passed
validation,175.1718418358868,82.82800636507088,92.34383547081592,54,27,21,33,6,27,0,0.29238551617809944,3.4201420544746637,215.77777777777777,5.0,250.0,passed
robustness,155.69632278645534,89.49611405225691,66.20020873419843,106,63,52,54,11,43,0,0.6495447797249405,1.5395397380046145,120.3953488372093,7.5,375.0,passed
