split,configured_start,effective_reference_end,data_max_date,data_max_date_minus_forward_horizon,big_winner_reference_count,unique_instrument_count,forward_return_p50,status
train,2017-07-04,2021-12-31,2026-04-30,2025-10-31,446,205,0.5452973893302887,passed
validation,2022-01-01,2023-12-31,2026-04-30,2025-10-31,158,127,0.5292841565735777,passed
robustness,2024-01-01,2025-10-31,2026-04-30,2025-10-31,241,170,0.5357142336534562,passed
