split,population,probe_r_budget,initial_risk_pct_p01,initial_risk_pct_p05,initial_risk_pct_p25,initial_risk_pct_median,initial_risk_pct_p75,initial_risk_pct_p95,initial_risk_pct_p99,return_r_p01,return_r_p99,loss_r_top1_share,loss_r_top5_share,near_risk_floor_extreme_loss_share,risk_distance_ineligible_count,initial_risk_pct_quintile,quintile_failed_seed_count,quintile_failed_seed_average_loss_r,quintile_baseline_failed_seed_average_loss_r,quintile_loss_r_diff_vs_same_seed_no_fail_fast,risk_pct_quintile_cost_control_status,audit_only_status
train,candidate,0.1,0.020406603108246015,0.021934621819547202,0.03079075507200743,0.044499469429476,0.06250001732533884,0.09542662874269414,0.11308484471004487,-0.3704079367126132,0.9022124536617483,0.007769196155052068,0.021408802833233202,0.04770366744197872,0,all,1373,0.0928759662996315,,,report_only,report_only
train,candidate,0.25,0.020406603108246015,0.021934621819547202,0.03079075507200743,0.044499469429476,0.06250001732533884,0.09542662874269414,0.11308484471004487,-0.926019841781533,2.2555311341543707,0.007769196155052067,0.0214088028332332,0.04770366744197874,0,all,1373,0.23218991574907877,,,report_only,report_only
train,candidate,0.5,0.020406603108246015,0.021934621819547202,0.03079075507200743,0.044499469429476,0.06250001732533884,0.09542662874269414,0.11308484471004487,-1.852039683563066,4.511062268308741,0.007769196155052067,0.0214088028332332,0.04770366744197874,0,all,1373,0.46437983149815754,,,report_only,report_only
train,ep2_bridge,0.1,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-0.5331730402679101,0.9232180103328192,0.014475686085257546,0.049754561211573345,0.06536253374081472,0,all,656,0.09483515121795869,,,report_only,report_only
train,ep2_bridge,0.25,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-1.3329326006697753,2.308045025832048,0.014475686085257546,0.049754561211573345,0.0653625337408147,0,all,656,0.2370878780448967,,,report_only,report_only
train,ep2_bridge,0.5,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-2.6658652013395505,4.616090051664096,0.014475686085257546,0.049754561211573345,0.0653625337408147,0,all,656,0.4741757560897934,,,report_only,report_only
train,matched_delay,0.1,0.00160003662109375,0.007509379787021483,0.027681707604084303,0.04719699623398191,0.07442562226153018,0.1365655698730232,0.1955413842115145,-1.861663453321877,1.9783824454569308,0.03855629292895805,0.16631973168446562,0.6541353797382052,1516,all,5476,0.21161374638743286,,,report_only,report_only
train,matched_delay,0.25,0.00160003662109375,0.007509379787021483,0.027681707604084303,0.04719699623398191,0.07442562226153018,0.1365655698730232,0.1955413842115145,-4.654158633304692,4.9459561136423265,0.03855629292895804,0.16631973168446565,0.6541353797382053,1516,all,5476,0.5290343659685821,,,report_only,report_only
train,matched_delay,0.5,0.00160003662109375,0.007509379787021483,0.027681707604084303,0.04719699623398191,0.07442562226153018,0.1365655698730232,0.1955413842115145,-9.308317266609384,9.891912227284653,0.03855629292895804,0.16631973168446565,0.6541353797382053,1516,all,5476,1.0580687319371642,,,report_only,report_only
train,matched_random,0.1,0.0007394623829653784,0.0019175893747334649,0.005813947847045612,0.011661796231638034,0.021986930778542295,0.05462590429220055,0.108007469955215,-0.8058051746311486,1.2781677237453772,0.00029253668139433487,0.0013288469757920447,0.09219270584868068,230143,all,0,0.029394668287629964,,,report_only,report_only
train,matched_random,0.25,0.0007394623829653784,0.0019175893747334649,0.005813947847045612,0.011661796231638034,0.021986930778542295,0.05462590429220055,0.108007469955215,-2.0145129365778716,3.1954193093634427,0.0002925366813943348,0.0013288469757920438,0.09219270584868067,230143,all,0,0.07348667071907493,,,report_only,report_only
train,matched_random,0.5,0.0007394623829653784,0.0019175893747334649,0.005813947847045612,0.011661796231638034,0.021986930778542295,0.05462590429220055,0.108007469955215,-4.029025873155743,6.390838618726885,0.0002925366813943348,0.0013288469757920438,0.09219270584868067,230143,all,0,0.14697334143814986,,,report_only,report_only
validation,candidate,0.1,0.02051883067534588,0.022116731536403766,0.028932782771227565,0.03934133763549469,0.05833511740637714,0.08550201055809267,0.10759979070818244,-0.30840432397289774,0.6536608582095127,0.005900859833457553,0.0244702896835379,0.035925145373363755,0,all,699,0.10068166283825511,,,report_only,report_only
validation,candidate,0.25,0.02051883067534588,0.022116731536403766,0.028932782771227565,0.03934133763549469,0.05833511740637714,0.08550201055809267,0.10759979070818244,-0.7710108099322444,1.6341521455237817,0.005900859833457553,0.024470289683537896,0.035925145373363755,0,all,699,0.25170415709563776,,,report_only,report_only
validation,candidate,0.5,0.02051883067534588,0.022116731536403766,0.028932782771227565,0.03934133763549469,0.05833511740637714,0.08550201055809267,0.10759979070818244,-1.5420216198644887,3.2683042910475635,0.005900859833457553,0.024470289683537896,0.035925145373363755,0,all,699,0.5034083141912755,,,report_only,report_only
validation,ep2_bridge,0.1,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-0.4071517740475919,0.9286691151105094,0.015168011184175783,0.06421409006192134,0.04257996204965618,0,all,322,0.1034214653109791,,,report_only,report_only
validation,ep2_bridge,0.25,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-1.0178794351189797,2.3216727877762735,0.01516801118417578,0.06421409006192132,0.04257996204965616,0,all,322,0.2585536632774478,,,report_only,report_only
validation,ep2_bridge,0.5,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-2.0357588702379594,4.643345575552547,0.01516801118417578,0.06421409006192132,0.04257996204965616,0,all,322,0.5171073265548956,,,report_only,report_only
validation,matched_delay,0.1,0.0019855921699293176,0.007481808648659854,0.024210877494299343,0.04127299346171152,0.0655999755859375,0.11501901002808444,0.16372280407728595,-2.548093124761486,1.166790611167239,0.025736374649437312,0.08345987110258633,0.5775835423063551,690,all,2778,0.20037022258759274,,,report_only,report_only
validation,matched_delay,0.25,0.0019855921699293176,0.007481808648659854,0.024210877494299343,0.04127299346171152,0.0655999755859375,0.11501901002808444,0.16372280407728595,-6.370232811903715,2.9169765279180977,0.02573637464943731,0.08345987110258633,0.5775835423063552,690,all,2778,0.5009255564689818,,,report_only,report_only
validation,matched_delay,0.5,0.0019855921699293176,0.007481808648659854,0.024210877494299343,0.04127299346171152,0.0655999755859375,0.11501901002808444,0.16372280407728595,-12.74046562380743,5.833953055836195,0.02573637464943731,0.08345987110258633,0.5775835423063552,690,all,2778,1.0018511129379637,,,report_only,report_only
validation,matched_random,0.1,0.000588594998031468,0.0015535814597216553,0.005008375081371332,0.01009317649734826,0.018928205514251336,0.048326176771216464,0.09079758780952096,-0.796570732888734,0.9235916658854457,0.0004371527635274223,0.0019647638201600722,0.09161631086042892,115509,all,0,0.026040790171477552,,,report_only,report_only
validation,matched_random,0.25,0.000588594998031468,0.0015535814597216553,0.005008375081371332,0.01009317649734826,0.018928205514251336,0.048326176771216464,0.09079758780952096,-1.991426832221835,2.308979164713614,0.0004371527635274223,0.0019647638201600727,0.09161631086042892,115509,all,0,0.06510197542869388,,,report_only,report_only
validation,matched_random,0.5,0.000588594998031468,0.0015535814597216553,0.005008375081371332,0.01009317649734826,0.018928205514251336,0.048326176771216464,0.09079758780952096,-3.98285366444367,4.617958329427228,0.0004371527635274223,0.0019647638201600727,0.09161631086042892,115509,all,0,0.13020395085738776,,,report_only,report_only
robustness,candidate,0.1,0.020316522137532267,0.021496133238388383,0.02893082070334622,0.03973506169436033,0.05906942880698221,0.09589561743869625,0.10886490703495713,-0.3586691898840243,1.121563369342867,0.007903681015633008,0.031015949123867993,0.058274053088215975,0,all,668,0.09334350877342022,,,report_only,report_only
robustness,candidate,0.25,0.020316522137532267,0.021496133238388383,0.02893082070334622,0.03973506169436033,0.05906942880698221,0.09589561743869625,0.10886490703495713,-0.8966729747100608,2.8039084233571674,0.007903681015633008,0.031015949123867986,0.058274053088215975,0,all,668,0.23335877193355056,,,report_only,report_only
robustness,candidate,0.5,0.020316522137532267,0.021496133238388383,0.02893082070334622,0.03973506169436033,0.05906942880698221,0.09589561743869625,0.10886490703495713,-1.7933459494201216,5.607816846714335,0.007903681015633008,0.031015949123867986,0.058274053088215975,0,all,668,0.4667175438671011,,,report_only,report_only
robustness,ep2_bridge,0.1,0.020366666764862186,0.021508083727409432,0.027040353139845177,0.040782349305721555,0.05973252512105888,0.0928112999025652,0.10725995351908113,-0.40115433423074526,0.7524013187751721,0.01142864569385778,0.049097937283438114,0.06138844898207556,0,all,368,0.10064490972067526,,,report_only,report_only
robustness,ep2_bridge,0.25,0.020366666764862186,0.021508083727409432,0.027040353139845177,0.040782349305721555,0.05973252512105888,0.0928112999025652,0.10725995351908113,-1.002885835576863,1.8810032969379302,0.01142864569385778,0.049097937283438114,0.06138844898207556,0,all,368,0.25161227430168814,,,report_only,report_only
robustness,ep2_bridge,0.5,0.020366666764862186,0.021508083727409432,0.027040353139845177,0.040782349305721555,0.05973252512105888,0.0928112999025652,0.10725995351908113,-2.005771671153726,3.7620065938758604,0.01142864569385778,0.049097937283438114,0.06138844898207556,0,all,368,0.5032245486033763,,,report_only,report_only
robustness,matched_delay,0.1,0.002379611814047242,0.006831896535378679,0.023305013043820426,0.04160964983730363,0.07107442922866095,0.17456123323073777,0.25208960333567393,-1.757880323306993,2.460194403267988,0.048854346059475647,0.1625030297187954,0.6467251879556796,966,all,2666,0.15981902539429377,,,report_only,report_only
