bucket_field,bucket_id,quantile_low,quantile_high,value_low,value_high,train_row_count,merged_bucket_id,missing_bucket,status
money_20d_median_asof,money_20d_median_asof_q1,0.0,0.2,-inf,208918616.0,35825,money_20d_median_asof_q1,False,passed
money_20d_median_asof,money_20d_median_asof_q2,0.2,0.4,208918616.0,389501152.0,35828,money_20d_median_asof_q2,False,passed
money_20d_median_asof,money_20d_median_asof_q3,0.4,0.6,389501152.0,668933542.4,35828,money_20d_median_asof_q3,False,passed
money_20d_median_asof,money_20d_median_asof_q4,0.6,0.8,668933542.4,1299168473.6000009,35827,money_20d_median_asof_q4,False,passed
money_20d_median_asof,money_20d_median_asof_q5,0.8,1.0,1299168473.6000009,inf,35827,money_20d_median_asof_q5,False,passed
money_20d_median_asof,money_20d_median_asof_missing,,,,,0,money_20d_median_asof_missing,True,passed
atr20_pct_asof,atr20_pct_asof_q1,0.0,0.2,-inf,0.021299996693929037,35827,atr20_pct_asof_q1,False,passed
atr20_pct_asof,atr20_pct_asof_q2,0.2,0.4,0.021299996693929037,0.029348682695085677,35827,atr20_pct_asof_q2,False,passed
atr20_pct_asof,atr20_pct_asof_q3,0.4,0.6,0.029348682695085677,0.03741098706155961,35827,atr20_pct_asof_q3,False,passed
atr20_pct_asof,atr20_pct_asof_q4,0.6,0.8,0.03741098706155961,0.047478760655389904,35827,atr20_pct_asof_q4,False,passed
atr20_pct_asof,atr20_pct_asof_q5,0.8,1.0,0.047478760655389904,inf,35827,atr20_pct_asof_q5,False,passed
atr20_pct_asof,atr20_pct_asof_missing,,,,,0,atr20_pct_asof_missing,True,passed
