split,population,probe_r_budget,initial_risk_pct_p01,initial_risk_pct_p05,initial_risk_pct_p25,initial_risk_pct_median,initial_risk_pct_p75,initial_risk_pct_p95,initial_risk_pct_p99,return_r_p01,return_r_p99,loss_r_top1_share,loss_r_top5_share,near_risk_floor_extreme_loss_share,risk_distance_ineligible_count,initial_risk_pct_quintile,quintile_failed_seed_count,quintile_failed_seed_average_loss_r,quintile_baseline_failed_seed_average_loss_r,quintile_loss_r_diff_vs_same_seed_no_fail_fast,risk_pct_quintile_cost_control_status,audit_only_status
train,candidate,0.1,0.020334209661045842,0.02134618379651422,0.028066916453177035,0.03851646917945103,0.056279024261959715,0.0897848722128359,0.112420945890412,-0.45158711642971994,1.0301321052519987,0.004872350766608029,0.01942289188780937,0.06544814795889477,0,all,1826,0.11021035680795238,,,report_only,report_only
train,candidate,0.25,0.020334209661045842,0.02134618379651422,0.028066916453177035,0.03851646917945103,0.056279024261959715,0.0897848722128359,0.112420945890412,-1.1289677910742997,2.5753302631299966,0.004872350766608029,0.019422891887809365,0.06544814795889477,0,all,1826,0.2755258920198809,,,report_only,report_only
train,candidate,0.5,0.020334209661045842,0.02134618379651422,0.028066916453177035,0.03851646917945103,0.056279024261959715,0.0897848722128359,0.112420945890412,-2.2579355821485994,5.150660526259993,0.004872350766608029,0.019422891887809365,0.06544814795889477,0,all,1826,0.5510517840397618,,,report_only,report_only
train,ep2_bridge,0.1,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-0.5331730402679101,0.9232180103328192,0.014475686085257546,0.049754561211573345,0.06536253374081472,0,all,656,0.09483515121795869,,,report_only,report_only
train,ep2_bridge,0.25,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-1.3329326006697753,2.308045025832048,0.014475686085257546,0.049754561211573345,0.0653625337408147,0,all,656,0.2370878780448967,,,report_only,report_only
train,ep2_bridge,0.5,0.020561068707512592,0.02201368115571912,0.029439622390462016,0.041023399956756704,0.06045450841806383,0.08807607718058852,0.10683479026974027,-2.6658652013395505,4.616090051664096,0.014475686085257546,0.049754561211573345,0.0653625337408147,0,all,656,0.4741757560897934,,,report_only,report_only
train,matched_delay,0.1,0.0015533797539849048,0.006044419601840328,0.024622749472562815,0.04357135192256999,0.07032970510924182,0.13013374531260674,0.18304509673998529,-2.762888854881884,2.431944933842385,0.03512544313561594,0.11934114264897304,0.6949014621907873,2162,all,7276,0.2521805019197528,,,report_only,report_only
train,matched_delay,0.25,0.0015533797539849048,0.006044419601840328,0.024622749472562815,0.04357135192256999,0.07032970510924182,0.13013374531260674,0.18304509673998529,-6.90722213720471,6.079862334605962,0.03512544313561594,0.11934114264897303,0.6949014621907874,2162,all,7276,0.6304512547993819,,,report_only,report_only
train,matched_delay,0.5,0.0015533797539849048,0.006044419601840328,0.024622749472562815,0.04357135192256999,0.07032970510924182,0.13013374531260674,0.18304509673998529,-13.81444427440942,12.159724669211924,0.03512544313561594,0.11934114264897303,0.6949014621907874,2162,all,7276,1.2609025095987638,,,report_only,report_only
train,matched_random,0.1,0.0007158359835853334,0.0019304541266529243,0.006289272339281582,0.012745538640225606,0.024171498678575463,0.060666656494140624,0.11928884806099149,-0.8227493053781268,1.2578427400669911,0.00018825374353818373,0.0008551420512118077,0.09095522558636622,295432,all,0,0.0339927887677323,,,report_only,report_only
train,matched_random,0.25,0.0007158359835853334,0.0019304541266529243,0.006289272339281582,0.012745538640225606,0.024171498678575463,0.060666656494140624,0.11928884806099149,-2.056873263445317,3.144606850167478,0.00018825374353818367,0.0008551420512118073,0.09095522558636623,295432,all,0,0.08498197191933075,,,report_only,report_only
train,matched_random,0.5,0.0007158359835853334,0.0019304541266529243,0.006289272339281582,0.012745538640225606,0.024171498678575463,0.060666656494140624,0.11928884806099149,-4.113746526890634,6.289213700334956,0.00018825374353818367,0.0008551420512118073,0.09095522558636623,295432,all,0,0.1699639438386615,,,report_only,report_only
validation,candidate,0.1,0.02032765902779398,0.02147346939785115,0.027316228432311306,0.036447657855232525,0.052479678783242056,0.08397122364815458,0.1088647625964308,-0.3824166030226219,0.8507180329015299,0.004993014607059842,0.02225895613744436,0.04292638149120055,0,all,881,0.11789496560426649,,,report_only,report_only
validation,candidate,0.25,0.02032765902779398,0.02147346939785115,0.027316228432311306,0.036447657855232525,0.052479678783242056,0.08397122364815458,0.1088647625964308,-0.9560415075565547,2.1267950822538246,0.004993014607059842,0.022258956137444358,0.04292638149120055,0,all,881,0.2947374140106662,,,report_only,report_only
validation,candidate,0.5,0.02032765902779398,0.02147346939785115,0.027316228432311306,0.036447657855232525,0.052479678783242056,0.08397122364815458,0.1088647625964308,-1.9120830151131094,4.253590164507649,0.004993014607059842,0.022258956137444358,0.04292638149120055,0,all,881,0.5894748280213324,,,report_only,report_only
validation,ep2_bridge,0.1,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-0.4071517740475919,0.9286691151105094,0.015168011184175783,0.06421409006192134,0.04257996204965618,0,all,322,0.1034214653109791,,,report_only,report_only
validation,ep2_bridge,0.25,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-1.0178794351189797,2.3216727877762735,0.01516801118417578,0.06421409006192132,0.04257996204965616,0,all,322,0.2585536632774478,,,report_only,report_only
validation,ep2_bridge,0.5,0.020637987229115848,0.02129604779061294,0.02702643239244497,0.036768792164888424,0.05198281815356602,0.07962443698724093,0.10365621671237026,-2.0357588702379594,4.643345575552547,0.01516801118417578,0.06421409006192132,0.04257996204965616,0,all,322,0.5171073265548956,,,report_only,report_only
validation,matched_delay,0.1,0.0018088257814173247,0.005798644089874591,0.021857154812212023,0.038608308185457435,0.06365030108390499,0.11388946732286785,0.15227942601003902,-2.7325930051289595,1.6553955986244964,0.050920885901859884,0.12188816221845118,0.6506449074658083,998,all,3502,0.24627506119029413,,,report_only,report_only
validation,matched_delay,0.25,0.0018088257814173247,0.005798644089874591,0.021857154812212023,0.038608308185457435,0.06365030108390499,0.11388946732286785,0.15227942601003902,-6.831482512822399,4.13848899656124,0.050920885901859884,0.12188816221845117,0.6506449074658083,998,all,3502,0.6156876529757354,,,report_only,report_only
validation,matched_delay,0.5,0.0018088257814173247,0.005798644089874591,0.021857154812212023,0.038608308185457435,0.06365030108390499,0.11388946732286785,0.15227942601003902,-13.662965025644798,8.27697799312248,0.050920885901859884,0.12188816221845117,0.6506449074658083,998,all,3502,1.2313753059514707,,,report_only,report_only
validation,matched_random,0.1,0.0005800596876218714,0.001574764125174637,0.005431512024469315,0.011091156913442847,0.020890278554873427,0.05263162892655548,0.10060009466667062,-0.8232605239404137,0.9347806467881506,0.00028701129876397075,0.0013770675094726854,0.09368516040758196,141775,all,0,0.031049945092100562,,,report_only,report_only
validation,matched_random,0.25,0.0005800596876218714,0.001574764125174637,0.005431512024469315,0.011091156913442847,0.020890278554873427,0.05263162892655548,0.10060009466667062,-2.0581513098510342,2.3369516169703766,0.00028701129876397075,0.0013770675094726852,0.09368516040758194,141775,all,0,0.07762486273025139,,,report_only,report_only
