split,error_type,seed_episode_id,instrument,episode_start_signal_date,exit_trigger_type,exit_signal_date,h20_after_cost_return,return_r,loss_r,captured_reference_event_id,price_structure_component,initial_risk_pct,audit_only_status
robustness,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600000_20250317_cf68c0a1b9,SH600000,,natural_exit_h20,2025-04-16,-0.013842168841098346,-0.17006089555548443,0.17006089555548443,,,0.02034884150745603,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600009_20171030_f4ea445d69,SH600009,,natural_exit_h20,2017-11-28,-0.018191571993913747,-0.08264694813263757,0.08264694813263757,,,0.0550279605143999,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600009_20180713_0f184d45e6,SH600009,,natural_exit_h20,2018-08-13,-0.03998722239906549,-0.33874274289795686,0.33874274289795686,,,0.029511497469269236,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600009_20200529_f1a2d518a9,SH600009,,natural_exit_h20,2020-07-01,-0.008281395365330013,-0.04812697945016502,0.04812697945016502,,,0.043018466252932576,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600009_20200814_73d7e8ac5b,SH600009,,natural_exit_h20,2020-09-14,-0.015457161400806552,-0.13064887238888426,0.13064887238888426,,,0.02957767854818788,report_only
robustness,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600009_20241107_e5819c44f5,SH600009,,natural_exit_h20,2024-12-06,-0.0562062992002913,-0.3828529208558488,0.3828529208558488,,,0.03670227921641873,report_only
validation,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600010_20230120_ef95adcaad,SH600010,,natural_exit_h20,2023-02-27,-0.0012229413440856263,-0.007758041440848584,0.007758041440848584,,,0.03940882996726618,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600011_20180719_fe391c265b,SH600011,,natural_exit_h20,2018-08-17,-0.0777116592002467,-0.7916882807993053,0.7916882807993053,,,0.024539853969351218,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600011_20181203_1343ce131d,SH600011,,natural_exit_h20,2019-01-03,-0.04313081580249534,-0.36840843275180046,0.36840843275180046,,,0.029268341851143846,report_only
validation,false_reject_winner,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600011_20220209_9d03128298,SH600011,,close_below_breakout_reference,2022-02-14,-0.010967098703888234,-0.874024227903079,0.874024227903079,,,0.020731717103439823,report_only
validation,false_reject_winner,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600011_20221123_8bd6999c80,SH600011,,close_below_breakout_reference,2022-12-01,-0.17314725924172558,-0.4234293888958079,0.4234293888958079,,,0.026881758677971553,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600015_20200702_22c6855462,SH600015,,natural_exit_h20,2020-07-31,-0.00673141586910031,-0.06549113042026054,0.06549113042026054,,,0.025695906552171292,report_only
robustness,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600016_20241118_48f9c6e968,SH600016,,natural_exit_h20,2024-12-17,-0.026066882999219,-0.09485449922583965,0.09485449922583965,,,0.06870228405601563,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600018_20191213_41a7840f0f,SH600018,,natural_exit_h20,2020-01-14,-0.033775013091254635,-0.40276741361163126,0.40276741361163126,,,0.02096434067765858,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600018_20201106_172fa0a3de,SH600018,,natural_exit_h20,2020-12-07,-0.018555579034092995,-0.07255231561594173,0.07255231561594173,,,0.06393861752227735,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20180723_54bb333cd4,SH600019,,natural_exit_h20,2018-08-21,-0.030291032803579587,-0.11219635973109808,0.11219635973109808,,,0.06749557845766643,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20190904_89a7265b62,SH600019,,natural_exit_h20,2019-10-11,-0.0357491677002062,-0.30180630562453487,0.30180630562453487,,,0.029612674614459766,report_only
train,false_reject_winner,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20200618_831242d765,SH600019,,close_below_seed_day_low|close_below_breakout_reference,2020-06-23,0.06804653617348588,-0.39623603398910356,0.39623603398910356,,,0.027548247905923053,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20210830_e9444d9601,SH600019,,natural_exit_h20,2021-09-30,-0.09489281950838047,-0.7571663293345597,0.7571663293345597,,,0.03133156343328737,report_only
validation,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20221205_2f0bf799ec,SH600019,,natural_exit_h20,2023-01-04,-0.0521768513060229,-0.2869723971016741,0.2869723971016741,,,0.04545459060957758,report_only
robustness,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600019_20240702_fc121362bc,SH600019,,natural_exit_h20,2024-07-31,-0.03773795908119959,-0.28517855327885483,0.28517855327885483,,,0.03308274644718677,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600023_20180718_4728e0e176,SH600023,,natural_exit_h20,2018-08-16,-0.05895253978956749,-0.4556535393848248,0.4556535393848248,,,0.032345046561669956,report_only
train,missed_failure,ep4_boll20_pct_b_1_close_near_high10_0_seed_v0_SH600023_20210908_df06667d93,SH600023,,natural_exit_h20,2021-10-18,-0.13790180733380686,-0.32234539861160044,0.32234539861160044,,,0.1069518968843473,report_only
