split,candidate_total_failed_loss_r,ep2_total_failed_loss_r,incremental_abs_failed_loss_r_vs_ep2,candidate_captured_reference_count,ep2_captured_reference_count,overlap_captured_reference_count,added_capture_vs_ep2_count,lost_capture_vs_ep2_count,net_added_capture_vs_ep2_count,late_capture_0_to_10_count,recall_cost_score,incremental_loss_r_per_added_big_winner_vs_ep2,incremental_exposure_days_per_added_big_winner_vs_ep2,max_allowed_incremental_loss_r_per_added_big_winner_vs_ep2,max_allowed_incremental_exposure_days_per_added_big_winner_vs_ep2,decision_support_status
train,506.4745312619538,162.14694244670844,344.32758881524535,326,147,126,200,21,179,0,0.5198537840545951,1.9236178146103091,109.70391061452514,5.0,250.0,passed
validation,256.85445129343464,82.82800636507088,174.02644492836376,98,27,20,78,7,71,0,0.40798397065012987,2.451076689131884,128.1549295774648,5.0,250.0,passed
robustness,214.01844581677997,89.49611405225691,124.52233176452306,171,63,51,120,12,108,0,0.8673143079607,1.1529845533752134,88.69444444444444,7.5,375.0,passed
