lineage_source_id,lineage_check_id,observed_value,expected_value,lineage_status,artifact_path,sha256
13A3,input_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,upstream_13a_lineage_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,upstream_13a2_lineage_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,cost_sensitivity_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,composite_readout_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,badside_gate_status,pass,pass,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,utility_gate_status,fail,fail,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,morphology_independent_evidence_gate_status,fail,fail,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,decision_state,13A3_selected_composite_state_not_supported,13A3_selected_composite_state_not_supported,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,selected_state_id,repair_range_participation_core_30,repair_range_participation_core_30,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,sequence_mining_authorized,False,False,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/compression_repair_state_feasibility_decision.csv,477722a7295b592931919b3cfb4d96356ec35960cd5a4bba0059edb14339ad0f
13A3,row_level_cache_audit_all_pass,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/row_level_cache_audit.csv,a521ec846eaa7216251fce1d779c9ffa516c6268cb478563f7fee1a7074d9d91
13A,upstream_13a_manifest.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13A_full_pit_native_token_cartography_preflight_manifest.json,46df13114235ff6d596bebe4311fd812bc1ba46152278a29acfbb2c3b374fa44
13A,upstream_13a_token_dictionary.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_dictionary.csv,b323a3fd0fcba8e5fecaaacfd0a256494ff5f91750888c9e4c187137764bb3ae
13A,upstream_13a_label_portability.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_label_portability_audit.csv,89c6a1a0ca5886793f66291e5ae706d6771bb3544ecfe124723a2891d8a4eaf9
13A2,upstream_13a2_manifest.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13A2_compression_directional_disambiguation_preflight_manifest.json,71acb888248cdcd4a0ea011ab2307c28e9d1215978cbbaa14b0724a7672789f9
13A2,upstream_13a2_filter_dictionary.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A2_compression_directional_disambiguation_preflight/directional_filter_dictionary.csv,354c4489c4d69ca103fefcc471d203108e4606d629ca64abb5ef488813c04a7c
13A2,upstream_13a2_threshold_freeze.exists,True,True,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A2_compression_directional_disambiguation_preflight/directional_filter_threshold_freeze_audit.csv,8e4b5efe28cbeeac6f5d315600a95aa770667f23ac69b876d9740b159e44f679
13A,native_panel.row_id_unique,431239,431239,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A,native_panel.instrument_reference_date_unique,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A2,filter_matrix.coverage_equals_native,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A2_compression_directional_disambiguation_preflight/directional_filter_matrix.parquet,1271d823571dd5cf269a76150caa4cdf80ecf2dfc4e3b5fa9b4ce8a65061f8e9
13A3,state_matrix.coverage_equals_native,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/composite_state_matrix.parquet,dec21bbbb6bf8253806c8017fc94c0fab2fe8f059f58e4bcfb97bdcfed4e1c95
13A2,compression_base.split_boundary_equality,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A2_compression_directional_disambiguation_preflight/compression_base_panel.parquet,ac51ca494a0f88510176ef29acfebef0dc5ad9c3eb0bcb99b3f28d534fa28a55
13A2,compression_base.membership_equality,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A2_compression_directional_disambiguation_preflight/compression_base_panel.parquet,ac51ca494a0f88510176ef29acfebef0dc5ad9c3eb0bcb99b3f28d534fa28a55
13A3,required_composite_state_membership_equality,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A3_compression_repair_state_cost_and_native_feasibility_diagnostic/composite_state_matrix.parquet,dec21bbbb6bf8253806c8017fc94c0fab2fe8f059f58e4bcfb97bdcfed4e1c95
13A,pit_mapping.reference_pos_nonnull,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A,pit_mapping.entry_pos_nonnull,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A,pit_mapping.entry_price_nonnull,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A,pit_mapping.entry_executable,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
13A,label_lineage.horizon_complete,0,0,pass,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e
