model_id,target_id,split_bucket,metric_id,cluster_id,baseline_metric,permuted_metric_mean,permuted_metric_std,mda_importance,mda_importance_ci_low,mda_importance_ci_high,permutation_n,importance_status
augmented_low_capacity_logistic_l2,winner_positive,validation,auc,cluster_compression,0.6453020575325589,0.5553875846259265,0.0031742136303976884,0.08991447290663235,0.08826828275090294,0.09156066306236176,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,validation,auc,cluster_position_strength,0.6453020575325589,0.6428580578315365,0.0005799697410287605,0.0024439997010223813,0.002143219542699243,0.0027447798593455194,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,validation,auc,cluster_participation,0.6453020575325589,0.640505535932597,0.00112184911122444,0.0047965215999619115,0.004214715465231124,0.005378327734692699,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,validation,auc,cluster_drawdown_morphology,0.6453020575325589,0.6407428920112979,0.0008961621233471391,0.0045591655212610105,0.004094403713402857,0.005023927329119164,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,validation,auc,cluster_denominator_controls,0.6453020575325589,0.6350522063156183,0.0008171245731389627,0.010249851216940553,0.00982607935249379,0.010673623081387315,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,robustness,auc,cluster_compression,0.6448462084483398,0.5811054284167628,0.001288804673456631,0.06374078003157702,0.06307238848231744,0.06440917158083659,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,robustness,auc,cluster_position_strength,0.6448462084483398,0.6376899834003211,0.0005721932215894617,0.007156225048018716,0.006859477897941847,0.0074529721980955855,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,robustness,auc,cluster_participation,0.6448462084483398,0.6331621306838009,0.0005567751403020884,0.011684077764538947,0.011395326640120985,0.01197282888895691,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,robustness,auc,cluster_drawdown_morphology,0.6448462084483398,0.6305158285414227,0.0005711660135676878,0.014330379906917101,0.014034165480824886,0.014626594333009316,10,positive_ci
augmented_low_capacity_logistic_l2,winner_positive,robustness,auc,cluster_denominator_controls,0.6448462084483398,0.6450099267518915,0.0006052414601297967,-0.00016371830355166317,-0.00047760471748535126,0.00015016811038202492,10,not_positive
augmented_low_capacity_logistic_l2,lower_first,validation,auc,cluster_compression,0.6085465557524558,0.4914414888962197,0.0013897427652338017,0.11710506685623606,0.11638432744625583,0.11782580626621629,10,positive_ci
