state_id,split_bucket,event_n,t1_reconstruction_status,mean_average_uniqueness,median_average_uniqueness,p25_average_uniqueness,p10_average_uniqueness,mean_concurrency,p95_concurrency,instrument_month_block_n,mean_rows_per_block,p95_rows_per_block,effective_block_n,overlap_status,sample_uniqueness_gate_status,downstream_requirement_requires_exact_t1_rebuild
repair_range_participation_core_30,train,6232,exact_t1_reconstructed,0.4035060161343891,0.32407407407407407,0.2168225623582766,0.163171768707483,3.911002153468057,8.0,2248,2.772241992882562,7.0,1451.7727272727273,exact_t1_event_span,pass_with_exact_t1,False
repair_range_participation_core_30,validation,2627,exact_t1_reconstructed,0.425470145466708,0.3333333333333333,0.22539682539682543,0.16592970521541953,3.7495840712714004,8.0,1126,2.3330373001776197,6.0,749.7152634437806,exact_t1_event_span,pass_with_exact_t1,False
repair_range_participation_core_30,robustness,4813,exact_t1_reconstructed,0.41968927936617434,0.3333333333333333,0.22619047619047614,0.16984126984126982,3.72583804353909,8.0,1806,2.66500553709856,7.0,1151.8556511361942,exact_t1_event_span,pass_with_exact_t1,False
repair_sma_participation_core_30,train,6974,exact_t1_reconstructed,0.38680471302182884,0.30438596491228076,0.21077430972388955,0.1619047619047619,3.99611686592796,8.0,2410,2.8937759336099584,7.0,1560.969125104307,exact_t1_event_span,pass_with_exact_t1,False
repair_sma_participation_core_30,validation,2950,exact_t1_reconstructed,0.41120665137930146,0.3333333333333333,0.21883960337907707,0.16482993197278914,3.7967499103835585,8.0,1233,2.3925385239253854,6.0,829.9160785809651,exact_t1_event_span,pass_with_exact_t1,False
repair_sma_participation_core_30,robustness,5839,exact_t1_reconstructed,0.3981467365400884,0.31666666666666665,0.2142857142857143,0.16635582010582012,3.8901776928864966,8.0,2065,2.827602905569007,7.0,1320.1905517909004,exact_t1_event_span,pass_with_exact_t1,False
repair_close_position_participation_core_30,train,6876,exact_t1_reconstructed,0.3951950136234568,0.3166666666666667,0.215357905982906,0.16439393939393937,3.9065097952161607,8.0,2425,2.835463917525773,7.0,1577.7673363144897,exact_t1_event_span,pass_with_exact_t1,False
repair_close_position_participation_core_30,validation,2985,exact_t1_reconstructed,0.41342433394833167,0.3333333333333333,0.2212121212121212,0.16666666666666666,3.753632119071884,8.0,1256,2.376592356687898,6.0,839.8741634461306,exact_t1_event_span,pass_with_exact_t1,False
repair_close_position_participation_core_30,robustness,5814,exact_t1_reconstructed,0.4051825533266919,0.32936507936507936,0.21834183673469387,0.16666666666666666,3.8235853101713966,8.0,2094,2.7765042979942693,7.0,1351.5632147141143,exact_t1_event_span,pass_with_exact_t1,False
repair_range_participation_broad_40,train,9815,exact_t1_reconstructed,0.33519609618192914,0.2507936507936508,0.17037586751872466,0.1291746031746032,4.8844133369226626,11.0,2885,3.4020797227036397,9.0,1826.1373760733986,exact_t1_event_span,pass_with_exact_t1,False
repair_range_participation_broad_40,validation,4265,exact_t1_reconstructed,0.36071357198604476,0.27222222222222225,0.17724867724867724,0.13134920634920635,4.630955124617259,10.0,1534,2.7803129074315516,7.0,968.6471590606528,exact_t1_event_span,pass_with_exact_t1,False
repair_range_participation_broad_40,robustness,8236,exact_t1_reconstructed,0.33295830389836467,0.25,0.16586829176114887,0.1269620811287478,4.957287954815407,10.0,2402,3.4288093255620318,9.0,1474.2175084760497,exact_t1_event_span,pass_with_exact_t1,False
repair_ret60_volume_suspect_30,train,4801,exact_t1_reconstructed,0.37567755659901336,0.2865079365079366,0.19666666666666668,0.14742063492063492,4.293576418469927,9.0,1637,2.9328039095907146,7.0,1060.092949454997,exact_t1_event_span,pass_with_exact_t1,False
repair_ret60_volume_suspect_30,validation,3345,exact_t1_reconstructed,0.3441063399704435,0.2531746031746033,0.16984126984126982,0.12698412698412698,4.902210233906357,11.0,1109,3.0162308385933274,8.0,688.6825260048009,exact_t1_event_span,pass_with_exact_t1,False
repair_ret60_volume_suspect_30,robustness,7123,exact_t1_reconstructed,0.3071010857505146,0.2307539682539683,0.1569160997732426,0.12073077715934859,5.3072517664559316,11.0,1915,3.7195822454308094,10.0,1219.789133309292,exact_t1_event_span,pass_with_exact_t1,False
repair_drawdown_amount_suspect_30,train,6102,exact_t1_reconstructed,0.2802152628660716,0.21526875901875903,0.15117157974300832,0.11710863739435166,5.6659322365844105,12.0,1456,4.190934065934066,10.0,955.6104096088698,exact_t1_event_span,pass_with_exact_t1,False
repair_drawdown_amount_suspect_30,validation,2840,exact_t1_reconstructed,0.28632064251463135,0.22261363636363635,0.1618452380952381,0.12547567181495753,5.327441306988621,11.0,799,3.5544430538172715,8.0,538.0653769179453,exact_t1_event_span,pass_with_exact_t1,False
repair_drawdown_amount_suspect_30,robustness,5356,exact_t1_reconstructed,0.30120500724758137,0.23774801587301586,0.1637767985982272,0.12388196019148401,5.269639609641146,11.0,1356,3.949852507374631,10.0,891.778662024372,exact_t1_event_span,pass_with_exact_t1,False
