cluster_id,feature_id,feature_role,required_flag,available_row_n,feature_status,future_data_used,threshold_source_split
cluster_compression,volatility_20d,numeric,True,431239,pass,False,train
cluster_compression,volatility_60d,numeric,True,431239,pass,False,train
cluster_compression,range_width_20d,numeric,False,431239,pass,False,train
cluster_position_strength,distance_from_20d_low,numeric,True,431239,pass,False,train
cluster_position_strength,close_vs_sma20,numeric,True,431239,pass,False,train
cluster_position_strength,close_position_20d,numeric,True,431239,pass,False,train
cluster_participation,turnover_zscore_20d,numeric,True,431239,pass,False,train
cluster_participation,amount_ratio_5d_20d,numeric,True,431239,pass,False,train
cluster_participation,volume_up_price_not_down_5d,numeric,True,431239,pass,False,train
cluster_drawdown_morphology,max_drawdown_20d,numeric,True,431239,pass,False,train
cluster_drawdown_morphology,ret_20d,numeric,True,431239,pass,False,train
cluster_drawdown_morphology,ret_60d,numeric,True,431239,pass,False,train
cluster_drawdown_morphology,rebound_from_20d_low,numeric,True,431239,pass,False,train
cluster_denominator_controls,board_bucket,categorical_control,True,431239,pass,False,train
cluster_denominator_controls,calendar_year,categorical_control,True,431239,pass,False,train
cluster_denominator_controls,liquidity_bucket,categorical_control,True,431239,pass,False,train
cluster_denominator_controls,volatility_bucket,categorical_control,True,431239,pass,False,train
