target_id,split_bucket,residualization_method,cell_scope,row_count,fit_scope,apply_scope,validation_labels_used_to_fit_expectation,robustness_labels_used_to_fit_expectation,primary_cell_fields,backoff_hierarchy,purge_window_sessions,embargo_sessions,design_status
winner_positive,train,cell_mean_residualization,primary_cell,232458,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
winner_positive,train,cell_mean_residualization,fallback_level_1,182,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
winner_positive,validation,cell_mean_residualization,fallback_level_2,63527,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
winner_positive,robustness,cell_mean_residualization,fallback_level_2,135072,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
lower_first,train,cell_mean_residualization,primary_cell,232458,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
lower_first,train,cell_mean_residualization,fallback_level_1,182,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
lower_first,validation,cell_mean_residualization,fallback_level_2,63527,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
lower_first,robustness,cell_mean_residualization,fallback_level_2,135072,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
fast_fail,train,cell_mean_residualization,primary_cell,232458,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
fast_fail,train,cell_mean_residualization,fallback_level_1,182,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
fast_fail,validation,cell_mean_residualization,fallback_level_2,63527,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
fast_fail,robustness,cell_mean_residualization,fallback_level_2,135072,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
row_utility_component_50bps,train,cell_mean_residualization,primary_cell,232458,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
row_utility_component_50bps,train,cell_mean_residualization,fallback_level_1,182,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
row_utility_component_50bps,validation,cell_mean_residualization,fallback_level_2,63527,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
row_utility_component_50bps,robustness,cell_mean_residualization,fallback_level_2,135072,train,train_validation_robustness,False,False,board_bucket|calendar_year|liquidity_bucket|volatility_bucket|max_drawdown_20d_decile|compression_severity_bucket,board+year+mdd_quintile|board+mdd_quintile|mdd_quintile|global,20,20,pass
