audit_id,row_count,unique_row_id_count,instrument_count,split_bucket,horizon_complete_rate,selected_label_match_rate_vs_cache,composite_membership_match_rate_vs_13a3_cache,required_feature_nonnull_rate,required_column_missing_count,missing_required_columns,pit_mapping_status,status
row_level_panel_train,216794,216794,1119,train,1.0,1.0,1.0,1.0,0,,pass,pass
row_level_panel_validation,61307,61307,766,validation,1.0,1.0,1.0,1.0,0,,pass,pass
row_level_panel_robustness,130614,130614,769,robustness,1.0,1.0,1.0,1.0,0,,pass,pass
