test_id,estimator,arm_id,formation_sessions,holding_sessions,return_semantics,weighting,bucket_count,series_role,fold_id,calendar_slot_n,evaluable_week_n,null_value,alternative,hac_lag_weeks,block_method,block_length_weeks,bootstrap_repetitions,finite_bootstrap_repetitions,bootstrap_seed,scope_seed,bootstrap_rng,ci_method,estimate,standard_error,ci_low,ci_high,nominal_pvalue,holm_family_id,holm_family_size,holm_adjusted_pvalue,inference_status,failure_reason
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::EARLY,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,EARLY,213,101,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00260033515529,,-0.00554102268801,0.0148385873117,0.615676864627,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::EARLY,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,EARLY,213,101,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00260033515529,0.00536288341452,-0.00791072319045,0.013111393501,0.627764083317,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::FULL,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,FULL,426,237,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00427821006708,,-0.00294823567969,0.012782392472,0.285342931414,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::FULL,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,FULL,426,237,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00427821006708,0.00399271084607,-0.00354735939191,0.0121037795261,0.283942375101,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::LATE,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,LATE,213,136,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00552427893538,,-0.00412012778835,0.0184219179081,0.338132373525,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::LATE,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,LATE,213,136,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00552427893538,0.00568638763797,-0.00562083603718,0.0166693939079,0.33130343685,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::EARLY,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,EARLY,213,213,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.000441468555077,,-0.00612452888381,0.0101513864757,0.919616076785,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::EARLY,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,EARLY,213,213,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.000441468555077,0.00404789899831,-0.00749226769466,0.00837520480481,0.913153981934,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::FULL,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,FULL,426,425,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00231125638084,,-0.00311790041619,0.00817794007255,0.432513497301,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::FULL,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,FULL,426,425,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00231125638084,0.00293087871094,-0.00343316033567,0.00805567309734,0.430352727145,,,,pass,
