access_sequence_id,stage,accessed_at_utc,artifact_path,artifact_sha256_or_root_hash,dataset_role,max_date_read,max_date_contributed,decision_date_context,allowed_by_whitelist,outcome_class,row_count,future_rows_loaded,future_rows_contributed
1,outcome-materialization,2026-07-13T09:30:28.791934Z,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_SRC_short_term_residual_continuation_family_diagnostic_v0.building/preoutcome,1368a3b0683e57f95cdfdffb8f9894f1f2315a86e1218f447f09cd4c090fe22b,sealed_preoutcome,,,,True,non_outcome,,0,0
2,outcome-materialization,2026-07-13T09:30:28.792377Z,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_SRC_short_term_residual_continuation_family_diagnostic_v0.building/signal,f625bca08b5a25a7378c0448c641c189d705163f41c12d4d706794f726891630,sealed_signal,,,,True,non_outcome,,0,0
3,outcome-materialization,2026-07-13T09:30:28.792519Z,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_SRC_short_term_residual_continuation_family_diagnostic_v0.building/authorizations/outcome_materialization_authorization.json,c7593d70d104a2cfdbf3e73be2212b3ce1ca535b34e9021f3ec80ebce0c6077c,outcome_authorization,,,,True,non_outcome,1,0,0
4,outcome-materialization,2026-07-13T09:30:29.191585Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,26733b0273986589e91290a9c3d00cc3422f486d99c86ed13579d03e1b8b0485,qfq_raw,2026-05-29,2026-05-29,2026-05-29,True,registered_forward_H5_H10,,0,0
5,outcome-materialization,2026-07-13T09:30:29.192477Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,trading_calendar,2026-05-29,2026-05-29,2026-05-29,True,non_outcome,2281,0,0
6,outcome-materialization,2026-07-13T09:30:29.194742Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,security_master_identity_delisting,2026-05-29,2026-05-29,2026-05-29,True,non_outcome,4915,0,0
