record_type,decision_date,src_arm_id,common_total_population_n,common_lowvol_population_n,common_size_population_n,spearman_SRC_vs_total,spearman_SRC_vs_negative_VOL20,spearman_SRC_vs_log_market_cap,top_decile_jaccard_SRC_vs_total,top_decile_jaccard_SRC_vs_lowvol,favorable_bucket_weighted_mean_beta,beta_attribution_weighting,valid_lowvol_spearman_week_n,valid_lowvol_jaccard_week_n,valid_size_spearman_week_n,warning_minimum_week_n,full_history_median_spearman_SRC_vs_negative_VOL20,full_history_median_lowvol_jaccard,full_history_median_spearman_SRC_vs_log_market_cap,arm_scale_dependence_warning,arm_size_dependence_warning,overall_scale_dependence_warning,overall_size_dependence_warning,style_status,failure_reason
FULL_SUMMARY,SUMMARY,SRC3_MKT_RESID_CONT_5D,,,,,,,,,,EW_decile_favorable,426,426,426,52,-0.0239293724296,0.043956043956,0.0039588065135,False,False,False,False,pass,
FULL_SUMMARY,SUMMARY,SRC4_MKT_RESID_CONT_10D,,,,,,,,,,EW_decile_favorable,426,426,426,52,-0.0603281677469,0.0342868338558,0.0113410719986,False,False,False,False,pass,
WEEKLY,2017-01-06 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-06 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-13 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-13 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-20 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-20 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-26 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-01-26 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-03 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-03 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-10 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-10 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-17 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-17 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-24 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-02-24 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-03 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-03 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-10 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-10 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-17 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-17 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-24 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-24 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-31 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-03-31 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-07 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-07 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-14 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-14 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-21 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-21 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-28 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-04-28 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-05-05 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-05-05 00:00:00,SRC4_MKT_RESID_CONT_10D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
WEEKLY,2017-05-12 00:00:00,SRC3_MKT_RESID_CONT_5D,0,0,0,,,,,,,EW_decile_favorable,,,,52,,,,,,,,pass,
