compressed_pool_id,comparison_scope_id,selected_event_count,comparison_event_count,intersection_event_count,selected_overlap_share,comparison_overlap_share
,raw_r_series_variant_pool,0,61960,0,,0.0
,event_regime_gated_only,0,47929,0,,0.0
,single_family_best_variant__R1_relative_strength_breakout,0,14363,0,,0.0
,single_family_best_variant__R6_market_breadth_thrust,0,16204,0,,0.0
,single_family_best_variant__R7_cross_sectional_momentum_rank_jump,0,9786,0,,0.0
,single_family_best_variant__R8_persistent_distance_above_ema,0,12896,0,,0.0
,single_family_best_variant__R2_near_high_volume_expansion,0,9537,0,,0.0
,family_score_quantile_cut__q07,0,22044,0,,0.0
,family_score_quantile_cut__q08,0,17789,0,,0.0
,family_score_quantile_cut__q09,0,13634,0,,0.0
,family_score_quantile_cut__q095,0,11773,0,,0.0
,family_score_quantile_cut__q0975,0,10992,0,,0.0
,consensus_family_count__min2,0,11007,0,,0.0
,consensus_family_count__min3,0,3094,0,,0.0
,top_k_per_instrument_month__k1,0,28126,0,,0.0
,top_k_per_instrument_month__k2,0,40970,0,,0.0
,top_k_per_instrument_month__k3,0,46667,0,,0.0
,cooldown_after_selected_event__10d,0,24394,0,,0.0
,cooldown_after_selected_event__20d,0,20092,0,,0.0
,cooldown_after_selected_event__40d,0,13954,0,,0.0
,market_day_top_percentile__top5pct,0,8734,0,,0.0
,market_day_top_percentile__top10pct,0,10846,0,,0.0
,market_day_top_percentile__top20pct,0,14954,0,,0.0
,overlap_deconcentration,0,47929,0,,0.0
