compression_arm_id,source_family_set,source_variant_set,threshold_policy,score_spec_id,score_spec_hash,selected_by_train_only_flag,post_train_selection_read_only_metric,compression_source_variant_policy,allow_ungated_compression_source,source_variant_fallback_reason,unscored_canonical_policy,unscored_canonical_event_count,unscored_canonical_density_share,event_count,canonical_event_count,density_vs_e1_full_denominator,density_full_denominator,events_per_instrument_year_p95,single_family_density_share_max,triggered_family_share,density_compression_ratio_vs_raw_r_pool,raw_r_pool_definition,train_risk_on_incremental_recall_over_e1,train_risk_on_bridge_recall_delta_vs_e1,validation_risk_on_incremental_recall_over_e1,validation_risk_on_sample_small_flag,robustness_risk_on_incremental_recall_over_e1,robustness_risk_on_bridge_recall_delta_vs_e1,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate,downstream_entry_family_share_35pct_pass,direct_entry_union_support_status,ranker_arm_status,gate_status,failure_reason,selection_score
raw_r_series_variant_pool,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,all_runnable_variants,raw_r_series_variant_pool,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,all_runnable_variants_upper_bound,True,,retain_and_audit,20071,0.32393479664299546,61960,61960,9.085043988269796,17.1045658053724,24.0,0.35463202065848937,"{""R1_relative_strength_breakout"": 0.2991930277598451, ""R2_near_high_volume_expansion"": 0.17947062621045837, ""R6_market_breadth_thrust"": 0.35463202065848937, ""R7_cross_sectional_momentum_rank_jump"": 0.21116849580374436, ""R8_persistent_distance_above_ema"": 0.24275338928340864}",1.0,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.36,0.2,0.5909090909090909,True,0.46408839779005523,0.35748925721301417,0.9980955455132343,0.998531310522918,0.16451602470812715,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-34.29008797653959
event_regime_gated_only,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,event_regime_gated_only,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.12601973752842746,47929,47929,7.027712609970675,13.2311932615509,20.0,0.33808341505143025,"{""R1_relative_strength_breakout"": 0.2996724321392059, ""R2_near_high_volume_expansion"": 0.19898182728619415, ""R6_market_breadth_thrust"": 0.33808341505143025, ""R7_cross_sectional_momentum_rank_jump"": 0.20417701182999853, ""R8_persistent_distance_above_ema"": 0.26906465814016567}",0.7735474499677211,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.35555555555555557,0.1955555555555556,0.5909090909090909,True,0.46408839779005523,0.32415592387968084,0.997767531139811,0.998330864403597,0.16544686545941198,True,direct_entry_family_share_pass,not_evaluated_deterministic_run,train_blocked,density;p95,-26.20653633105246
single_family_best_variant__R1_relative_strength_breakout,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,single_family_best_variant__R1_relative_strength_breakout,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,14363,14363,2.1060117302052785,3.96502386479283,6.0,1.0,"{""R1_relative_strength_breakout"": 1.0}",0.2318108457069077,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3422222222222222,0.13968253968253969,0.5909090909090909,True,0.4088397790055249,0.14364640883977903,0.9966580797883451,0.9971454431525447,0.17003143555710792,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-2.6266266350137317
single_family_best_variant__R6_market_breadth_thrust,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,single_family_best_variant__R6_market_breadth_thrust,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,16204,16204,2.3759530791788857,4.4732470030705995,6.0,1.0,"{""R6_market_breadth_thrust"": 1.0}",0.26152356358941253,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3466666666666667,0.14414682539682544,0.5909090909090909,True,0.425414364640884,0.22099447513812154,0.997531473710195,0.9977783263391755,0.1674090571640683,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-3.1353188567704695
single_family_best_variant__R7_cross_sectional_momentum_rank_jump,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,single_family_best_variant__R7_cross_sectional_momentum_rank_jump,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,9786,9786,1.4348973607038122,2.7015055030886748,4.0,1.0,"{""R7_cross_sectional_momentum_rank_jump"": 1.0}",0.1579406068431246,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.29333333333333333,0.06666666666666671,0.5,True,0.3812154696132597,0.1156208524954474,0.9967300224810954,0.9980584508481504,0.17039163420135328,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;family_share_65,0.27687194525904246
single_family_best_variant__R8_persistent_distance_above_ema,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,single_family_best_variant__R8_persistent_distance_above_ema,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,12896,12896,1.8909090909090909,3.560046491705656,6.0,1.0,"{""R8_persistent_distance_above_ema"": 1.0}",0.20813428018076177,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3288888888888889,0.062222222222222234,0.5454545454545454,True,0.35359116022099446,0.09082259054634745,0.9974410669975186,0.997751240694789,0.1765529036772137,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-2.5462626262626262
single_family_best_variant__R2_near_high_volume_expansion,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,single_family_best_variant__R2_near_high_volume_expansion,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,9537,1.0,9537,9537,1.3983870967741934,2.6327670123601767,4.0,1.0,"{""R2_near_high_volume_expansion"": 1.0}",0.15392188508715302,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3288888888888889,0.04444444444444445,0.5454545454545454,True,0.287292817679558,0.07734806629834257,0.9971689210443536,0.9974834853727588,0.16361724500525762,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,train_bridge;density;family_share_65,0.36767025089605765
family_score_quantile_cut__q07,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,family_score_quantile_cut__q07,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,7864,0.3567410633278897,22044,22044,3.232258064516129,6.0854268659397865,10.0,0.43263473053892215,"{""R1_relative_strength_breakout"": 0.16535111594991833, ""R2_near_high_volume_expansion"": 0.43263473053892215, ""R6_market_breadth_thrust"": 0.2725458174559971, ""R7_cross_sectional_momentum_rank_jump"": 0.1437125748502994, ""R8_persistent_distance_above_ema"": 0.18322446017056795}",0.35577792123950935,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3511111111111111,0.10396825396825399,0.5909090909090909,True,0.40331491712707185,0.22415592387968075,0.996597713663582,0.9969606242061332,0.17993536346670308,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-8.99530977982591
family_score_quantile_cut__q08,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,family_score_quantile_cut__q08,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,8320,0.4677047613693856,17789,17789,2.608357771260997,4.910799243249993,8.0,0.5361178256225757,"{""R1_relative_strength_breakout"": 0.12429029175333071, ""R2_near_high_volume_expansion"": 0.5361178256225757, ""R6_market_breadth_thrust"": 0.22036089718365282, ""R7_cross_sectional_momentum_rank_jump"": 0.12558322558884705, ""R8_persistent_distance_above_ema"": 0.14778795885097532}",0.2871045836023241,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3377777777777778,0.08000000000000002,0.5454545454545454,True,0.3370165745856354,0.1712707182320442,0.996458485580977,0.9966833436393276,0.1834029109782241,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-5.88338220918866
family_score_quantile_cut__q09,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,family_score_quantile_cut__q09,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,8775,0.6436115593369517,13634,13634,1.9991202346041055,3.7637774401298785,6.0,0.699501246882793,"{""R1_relative_strength_breakout"": 0.07826023177350741, ""R2_near_high_volume_expansion"": 0.699501246882793, ""R6_market_breadth_thrust"": 0.143831597476896, ""R7_cross_sectional_momentum_rank_jump"": 0.08808860202435088, ""R8_persistent_distance_above_ema"": 0.09146252017016283}",0.22004519044544868,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3288888888888889,0.06666666666666671,0.5454545454545454,True,0.32044198895027626,0.16022099447513816,0.9958192753410591,0.9961126595276515,0.17942107976725344,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-2.7449071358748776
