candidate_scope_type,candidate_scope_id,family_id,variant_id,episode_split,source_regime_column_name,source_market_regime_bucket,episode_regime_bucket,window,incremental_recall_over_e1,bridge_recall,e1_bridge_recall,bridge_recall_delta_vs_e1,density_vs_e1_full_denominator,events_per_instrument_year_p95,recall_gate_pass,bridge_gate_pass,density_binding_flag,negative_control_flag,family_level_density_binding_flag,variant_level_spot_check_flag,variant_level_confirmed_family_flag,source_08_manifest_hash,patch_requirement_hash
candidate_family,R7_cross_sectional_momentum_rank_jump__all_variants,R7_cross_sectional_momentum_rank_jump,all_variants,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2977777777777777,0.36,0.2888888888888888,0.07111111111111118,1.918475073313783,5.0,True,True,True,False,True,False,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family,R8_persistent_distance_above_ema__all_variants,R8_persistent_distance_above_ema,all_variants,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3535911602209944,0.45,0.3480662983425414,0.10193370165745863,2.2054252199413487,7.0,True,True,True,False,True,False,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family,R8_persistent_distance_above_ema__all_variants,R8_persistent_distance_above_ema,all_variants,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3288888888888889,0.3555555555555555,0.2888888888888888,0.06666666666666671,2.2054252199413487,7.0,True,True,True,False,True,False,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R1_relative_strength_breakout__event_regime_gated,R1_relative_strength_breakout,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.4088397790055249,0.4917127071823204,0.3480662983425414,0.14364640883977903,2.1060117302052785,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R1_relative_strength_breakout__event_regime_gated,R1_relative_strength_breakout,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3422222222222222,0.4285714285714285,0.2888888888888888,0.13968253968253969,2.1060117302052785,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R1_relative_strength_breakout__ungated,R1_relative_strength_breakout,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.4088397790055249,0.5469613259668509,0.3480662983425414,0.1988950276243095,2.4958944281524924,7.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R1_relative_strength_breakout__ungated,R1_relative_strength_breakout,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3466666666666667,0.4330357142857143,0.2888888888888888,0.1441468253968255,2.4958944281524924,7.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R2_near_high_volume_expansion__event_regime_gated,R2_near_high_volume_expansion,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.287292817679558,0.425414364640884,0.3480662983425414,0.07734806629834262,1.3983870967741934,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R2_near_high_volume_expansion__event_regime_gated,R2_near_high_volume_expansion,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3288888888888889,0.3333333333333333,0.2888888888888888,0.04444444444444451,1.3983870967741934,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R2_near_high_volume_expansion__ungated,R2_near_high_volume_expansion,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.292817679558011,0.4751381215469613,0.3480662983425414,0.1270718232044199,1.575073313782991,5.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
