compression_arm_id,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate
raw_r_series_variant_pool,0.9980955455132343,0.998531310522918,0.16451602470812715
event_regime_gated_only,0.997767531139811,0.998330864403597,0.16544686545941198
single_family_best_variant__R1_relative_strength_breakout,0.9966580797883451,0.9971454431525447,0.17003143555710792
single_family_best_variant__R6_market_breadth_thrust,0.997531473710195,0.9977783263391755,0.1674090571640683
single_family_best_variant__R7_cross_sectional_momentum_rank_jump,0.9967300224810954,0.9980584508481504,0.17039163420135328
single_family_best_variant__R8_persistent_distance_above_ema,0.9974410669975186,0.997751240694789,0.1765529036772137
single_family_best_variant__R2_near_high_volume_expansion,0.9971689210443536,0.9974834853727588,0.16361724500525762
family_score_quantile_cut__q07,0.996597713663582,0.9969606242061332,0.17993536346670308
family_score_quantile_cut__q08,0.996458485580977,0.9966833436393276,0.1834029109782241
family_score_quantile_cut__q09,0.9958192753410591,0.9961126595276515,0.17942107976725344
family_score_quantile_cut__q095,0.9960927546080014,0.9963475749596534,0.17796537903982262
family_score_quantile_cut__q0975,0.9962700145560408,0.9965429403202329,0.1725869783581408
consensus_family_count__min2,0.9960025438357409,0.9963659489415826,0.17969533886709843
consensus_family_count__min3,0.9935358758888171,0.9935358758888171,0.1955107351984385
top_k_per_instrument_month__k1,0.9975823081845979,0.9981511768470455,0.15129374866348277
top_k_per_instrument_month__k2,0.9975591896509641,0.9982182084452038,0.15816001957425985
top_k_per_instrument_month__k3,0.9977285876529454,0.9983071549488932,0.1635059384463392
cooldown_after_selected_event__10d,0.9980323030253341,0.9984422398950562,0.1633122484186314
cooldown_after_selected_event__20d,0.9977105315548477,0.9981086999800916,0.16357378030529782
cooldown_after_selected_event__40d,0.9976350867134872,0.9979934069084133,0.15997413978880828
market_day_top_percentile__top5pct,0.9961071673918022,0.9966796427753607,0.17574712643678161
market_day_top_percentile__top10pct,0.9961276046468744,0.9966808039830353,0.18085894113291373
market_day_top_percentile__top20pct,0.9960545673398422,0.9965226695198609,0.18066465256797584
overlap_deconcentration,0.997767531139811,0.998330864403597,0.16544686545941198
