split,start_date,end_date,reference_row_n,entry_executable_row_n,horizon_complete_row_n_by_horizon,boundary_assignment_status
train,2017-01-04,2021-12-31,608000,607536,,pass
validation,2022-01-04,2024-02-29,260500,260458,,pass
robustness,2024-03-01,2026-05-29,271500,270958,,pass
boundary_gap_excluded,,,0,0,,pass
