artifact_id,resolved_path,row_count,column_count,sha256,schema_status,read_status,required_flag
defense_participation_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7e_defense_participation_frontier/defense_participation_decision.csv,1.0,24.0,f2a1a405053c70b18901275abee831aab8eaa89352d49684c85ff72993b20956,pass,pass,True
stage1_frontier_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7e_defense_participation_frontier/stage1_frontier_readout.csv,32.0,22.0,5d5eed80b80213d92d9585ec4d48edfc094c2ab98900345bbadc6c25aa701495,pass,pass,True
defense_participation_frontier,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7e_defense_participation_frontier/defense_participation_frontier.csv,32.0,51.0,9bf6faff18f5f7bec507ef0e2525b829c07bf38aafee37ffc7250e2fb232c173,pass,pass,True
simple_backbone_score_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A7b_direction_c_simple_backbone_operating_rule_validation/simple_backbone_score_matrix.parquet,0.0,151.0,c05b5b59d7c3498ca79e8383034f93dc31b6a191d4c59abcbf594dbe14c8f268,pass,pass,True
manifest_12a7b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A7b_direction_c_simple_backbone_operating_rule_validation_manifest.json,,,e7907959ce0a3b4ab09d0ced685c80947be2e40c4038697f48f8d7b0f8e56822,pass,pass,True
manifest_12a7e,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A7e_defense_participation_frontier_manifest.json,,,3c18912afa495458e3cdffc6c9f09e0848d593f89e7ff154bc54fafcab8cbb3a,pass,pass,True
c0_winner_enrichment_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7f_c0_winner_baserate_enrichment_control_diagnostic/c0_winner_enrichment_decision.csv,1.0,19.0,a4f7d5bda24250c78ccea3b2828ba81afd2fabad8e2f6ab4d35935e60ff31ab6,pass,pass,True
c0_vs_control_winner_baserate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7f_c0_winner_baserate_enrichment_control_diagnostic/c0_vs_control_winner_baserate_readout.csv,48.0,26.0,110e3ee12dda71aadc89392aa835f7772f72ac75c21deb21462aaadc78edecf6,pass,pass,True
winner_label_source_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7f_c0_winner_baserate_enrichment_control_diagnostic/winner_label_source_audit.csv,16.0,7.0,acb40210b7897b103b456d8cb12e144eba7058b6d7f4916bf8f200ab6db75c3b,pass,pass,True
enrichment_stability_slice_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7f_c0_winner_baserate_enrichment_control_diagnostic/enrichment_stability_slice_audit.csv,168.0,13.0,6fa0be83947c403d4210b9353db8b6161561e5c60e2a1e10e445a1be6876600f,pass,pass,True
manifest_12a7f,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A7f_c0_winner_baserate_enrichment_control_diagnostic_manifest.json,,,de62a47ea26d13b961a9a86e407a40e437e80d9f7b4a66e373aaaf5f4f9ab1ab,pass,pass,True
