denominator_id,label_id,row_n,horizon_complete_n,winner_positive_n,winner_base_rate
c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,15113,15113,2308,0.15271620459207305
c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,9481,9481,2225,0.23467988608796542
c0_deployable_stage2_reference,vol20d_kup2p0_kdn1p0_H20,3616,3616,571,0.15790929203539822
