denominator_id,label_id,horizon_sessions,raw_row_n,instrument_n,instrument_month_block_n,mean_rows_per_block,p95_rows_per_block,effective_block_n,overlap_control_status
c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,20,15113,1310,13493,1.1200622545023347,2.0,13493,pass
c0_posthoc_no_fast_fail_survivor,vol20d_kup2p0_kdn1p0_H20,20,9481,1114,8564,1.1070761326482952,2.0,8564,pass
c0_deployable_stage2_reference,vol20d_kup2p0_kdn1p0_H20,20,3616,759,3400,1.0635294117647058,2.0,3400,pass
full_pit_risk_on_universe_raw_diagnostic,vol20d_kup2p0_kdn1p0_H20,20,431239,1489,33903,12.719788809249918,22.0,33903,pass
full_pit_c0_comparable_active_band,vol20d_kup2p0_kdn1p0_H20,20,0,0,0,,,0,insufficient
