threshold_id,threshold_value,source,override_reason
min_label_base_rate,0.05,config,
max_label_base_rate,0.35,config,
target_label_base_rate,0.15,config,
min_train_positive_n,200,config,
max_same_bar_conflict_rate,0.03,config,
max_label_base_rate_dispersion,0.1,config,
min_label_stability_slice_n,200,config,
min_label_stability_slice_positive_n,20,config,
max_label_stability_score_tolerance,0.02,config,
max_label_base_rate_dispersion_tolerance,0.02,config,
max_same_bar_conflict_rate_tolerance,0.005,config,
min_auc,0.55,config,
min_top_decile_lift_abs,0.03,config,
min_top_decile_lift_ratio,1.2,config,
min_top_decile_positive_n,30,config,
max_rank_not_evaluable_rate,0.05,config,
search_adjustment_method,bonferroni_bootstrap_ci,config,
search_adjustment_alpha,0.05,config,
cost_buffer_bps,100,config,
min_recall_vs_entry,0.7,config,
max_recall_adjusted_utility_deterioration,0.1,config,
recall_floor_feasibility_warning_margin,0.05,config,
min_full_universe_auc_delta,0.02,config,
min_full_universe_effective_block_n,200,config,
min_full_vs_c0_top_decile_lift_delta_abs,0.02,config,
max_active_band_c0_coverage_rate_split_delta,0.15,config,
max_active_band_share_split_delta,0.2,config,
min_full_universe_stability_slice_n,500,config,
min_full_universe_stability_slice_positive_n,30,config,
max_full_vs_c0_stability_dispersion_delta,0.02,config,
min_c0_instrument_n,30,config,
min_c0_instrument_month_block_n,30,config,
