decision_state,candidate_flag,precedence_rank,selected_flag,suppressed_by_selected
12A7g_blocked_input_or_lineage_failure,False,1,False,False
12A7g_vol_scaled_label_drift_unresolved,False,2,False,False
12A7g_c0_vol_scaled_label_separable_continue_without_event_rebuild,False,3,False,False
12A7g_c0_posthoc_survivor_signal_diagnostic_only,False,4,False,False
12A7g_full_universe_more_separable_start_event_cartography,False,5,False,False
12A7g_baserate_only_not_separable_stop_winner_selection,True,6,True,False
