instrument,requested_row_n,matched_row_n,primitive_status,global_regime_calendar_status,global_regime_calendar_reason,missing_regime_date_bypassed_row_n,missing_regime_date_bypassed_unique_date_n,formula_version,split_train_end,split_validation_start,split_robustness_start
SH600004,1592,1592,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600006,45,45,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600007,728,728,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600008,988,986,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600009,2269,2267,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600010,2271,2270,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600011,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600012,465,465,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600015,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600016,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600018,2277,2276,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600021,1602,1601,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600022,652,651,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600023,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600026,2262,2260,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600027,2269,2267,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600028,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600030,2263,2260,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600036,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600037,640,639,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600038,1795,1794,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600048,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600056,782,782,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600058,190,190,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600060,980,979,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600062,590,590,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
