split,recomputed_selected_n,upstream_selected_n,recomputed_rank_evaluable_n,upstream_rank_evaluable_n,recomputed_selected_budget_rank_evaluable,upstream_selected_budget_rank_evaluable,selected_n_match_status,rank_evaluable_match_status,budget_match_status,stage1_anchor_reconstruction_status
all,4456,4456,14825,14825,0.3005733558178752,0.3005733558178752,pass,pass,pass,pass
train,2023,2023,8050,8050,0.25130434782608696,0.25130434782608696,pass,pass,pass,pass
validation,957,957,2133,2133,0.44866385372714485,0.44866385372714485,pass,pass,pass,pass
robustness,1476,1476,4642,4642,0.3179663937957777,0.3179663937957777,pass,pass,pass,pass
