denominator_id,instrument_n,instrument_month_block_n,min_c0_instrument_n,min_c0_instrument_month_block_n,diversity_status
c0_entry_t0,1310,13493,30,30,pass
c0_posthoc_no_fast_fail_survivor,1114,8564,30,30,pass
c0_deployable_stage2_reference,759,3400,30,30,pass
