auc,rank_ic,rank_ic_ci95_low,rank_ic_ci95_high,top_decile_winner_rate,base_winner_rate,top_decile_lift_abs,top_decile_lift_ratio,top_decile_lift_ci95_low,top_decile_lift_ci95_high,bottom_decile_winner_rate,top_minus_bottom_spread,positive_n,denominator_n,horizon_complete_n,horizon_complete_rate,censored_n,censored_rate,rank_evaluable_n,rank_not_evaluable_rate,top_decile_positive_n,raw_separability_status,search_adjusted_status,denominator_id,label_id,feature_id,selected_feature_id,selected_orientation,orientation,feature_time_bucket,label_reference_view,split,label_grid_size,feature_grid_size,effective_search_size,instrument_n,instrument_month_block_n,effective_block_n
0.5831147217596029,0.10356800038292492,0.06596149874950036,0.14117450201634948,0.23941798941798942,0.15271620459207305,0.08670178482591637,1.567731401245266,0.03419882421365705,0.13920474543817568,0.10714285714285714,0.13227513227513227,2308,15113,15113,1.0,0,0.0,15113,0.0,362,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5987089540117263,0.12721743557408066,0.07647677453919674,0.17795809660896458,0.2767749699157641,0.16596410935806336,0.11081086055770076,1.6676796627072492,0.03662414311069806,0.18499757800470346,0.11070998796630566,0.16606498194945846,1378,8303,8303,1.0,0,0.0,8303,0.0,230,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.6664584423512995,0.18154824588628415,0.0818062559605514,0.2812902358120169,0.20833333333333334,0.11157601115760112,0.09675732217573223,1.8671875,-0.034778551599401616,0.22829319595086606,0.05092592592592592,0.1574074074074074,240,2151,2151,1.0,0,0.0,2151,0.0,45,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.5500947560988969,0.06163895749516088,-0.006107826109164688,0.12938574109948645,0.1781115879828326,0.14810045074050227,0.030011137242330344,1.2026404179884305,-0.05537957641110061,0.1154018508957613,0.11587982832618025,0.062231759656652355,690,4659,4659,1.0,0,0.0,4659,0.0,83,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.5831147217596029,0.10356800038292492,0.06596149874950036,0.14117450201634948,0.23941798941798942,0.15271620459207305,0.08670178482591637,1.567731401245266,0.03419882421365705,0.13920474543817568,0.10714285714285714,0.13227513227513227,2308,15113,15113,1.0,0,0.0,15113,0.0,362,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,distance_to_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5987089540117263,0.12721743557408066,0.07647677453919674,0.17795809660896458,0.2767749699157641,0.16596410935806336,0.11081086055770076,1.6676796627072492,0.03662414311069806,0.18499757800470346,0.11070998796630566,0.16606498194945846,1378,8303,8303,1.0,0,0.0,8303,0.0,230,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,distance_to_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.6664584423512995,0.18154824588628415,0.0818062559605514,0.2812902358120169,0.20833333333333334,0.11157601115760112,0.09675732217573223,1.8671875,-0.034778551599401616,0.22829319595086606,0.05092592592592592,0.1574074074074074,240,2151,2151,1.0,0,0.0,2151,0.0,45,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,distance_to_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.5500947560988969,0.06163895749516088,-0.006107826109164688,0.12938574109948645,0.1781115879828326,0.14810045074050227,0.030011137242330344,1.2026404179884305,-0.05537957641110061,0.1154018508957613,0.11587982832618025,0.062231759656652355,690,4659,4659,1.0,0,0.0,4659,0.0,83,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,distance_to_20d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.5930834264399265,0.11598985265574632,0.07838335102232175,0.1535963542891709,0.2361111111111111,0.15271620459207305,0.08339490651903805,1.5460776526092816,0.031125901299095184,0.13566391173898093,0.0787037037037037,0.15740740740740738,2308,15113,15113,1.0,0,0.0,15113,0.0,357,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,volatility_60d,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5945339082959136,0.12183657984062317,0.07109591880573925,0.17257724087550708,0.2779783393501805,0.16596410935806336,0.11201422999211716,1.6749304438494548,0.03773470970159552,0.18629375028263878,0.08904933814681107,0.18892900120336945,1378,8303,8303,1.0,0,0.0,8303,0.0,231,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,volatility_60d,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.6624127856270714,0.17713583920055725,0.0773938492748245,0.27687782912629,0.27314814814814814,0.11157601115760112,0.161572136990547,2.4480902777777778,0.017952640807100573,0.30519163317399345,0.05092592592592592,0.2222222222222222,240,2151,2151,1.0,0,0.0,2151,0.0,59,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,volatility_60d,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.5849777806989678,0.10456068076729527,0.036813897162969705,0.17230746437162084,0.1781115879828326,0.14810045074050227,0.030011137242330344,1.2026404179884305,-0.05537957641110061,0.1154018508957613,0.06866952789699571,0.1094420600858369,690,4659,4659,1.0,0,0.0,4659,0.0,83,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,volatility_60d,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.5809809115129827,0.10090909159230078,0.06330258995887622,0.13851559322572535,0.22420634920634921,0.15271620459207305,0.07149014461427616,1.4681241575197381,0.020097086283129277,0.12288320294542304,0.11375661375661375,0.11044973544973546,2308,15113,15113,1.0,0,0.0,15113,0.0,339,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_60d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5883534447978287,0.11387111511061805,0.06313045407573413,0.164611776145502,0.25872442839951865,0.16596410935806336,0.09276031904145529,1.5589179455741677,0.02004126671468845,0.16547937136822213,0.12274368231046931,0.13598074608904934,1378,8303,8303,1.0,0,0.0,8303,0.0,215,pass,pass,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_60d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.6518140589569161,0.1655763171734216,0.06583432724768885,0.2653183070991544,0.2175925925925926,0.11157601115760112,0.10601658143499147,1.950173611111111,-0.027503300807978484,0.23953646367796144,0.05555555555555555,0.16203703703703703,240,2151,2151,1.0,0,0.0,2151,0.0,47,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,rebound_from_60d_low,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
