label_id,label_type,vol_reference_id,horizon_sessions,train_denominator_n,train_horizon_complete_n,train_horizon_complete_rate,train_winner_positive_n,train_winner_base_rate,train_same_bar_conflict_rate,label_base_rate_dispersion,label_stability_score,label_eligibility_status
vol20d_kup1p5_kdn1p0_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,55111,0.23689391334250343,0.0,0.17101467497573833,0.7420914116817583,ineligible
vol20d_kup1p5_kdn1p25_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,56448,0.24264099037138928,0.0,0.16902323250559148,0.7383357771230192,ineligible
vol20d_kup2p0_kdn0p75_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,35825,0.15399329436038514,1.2895460797799175e-05,0.1252793141139744,0.8707144960648427,ineligible
vol20d_kup2p0_kdn1p0_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,37738,0.16221629986244843,0.0,0.12892030149161043,0.8588633986459411,ineligible
vol20d_kup2p0_kdn1p25_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,38574,0.16580983493810178,0.0,0.13007009356756924,0.8541200714943289,ineligible
vol20d_kup2p5_kdn0p75_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,25135,0.10804246905089408,0.0,0.09225996217786689,0.8657825068730272,eligible
vol20d_kup2p5_kdn1p0_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,26329,0.11317486244841815,0.0,0.09566137095060734,0.8675134914978109,eligible
vol20d_kup2p5_kdn1p25_H40,vol_scaled,volatility_20d,40,232640,232640,1.0,26833,0.11534129986244841,0.0,0.09670775948977761,0.8686335403726708,eligible
vol60d_kup1p0_kdn0p75_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,78862,0.3389872764786795,3.868638239339753e-05,0.21771653011883835,0.5932575070200887,ineligible
vol60d_kup1p0_kdn1p0_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,82554,0.35485729023383766,3.43878954607978e-05,0.21586940712621114,0.5792389147444903,ineligible
vol60d_kup1p0_kdn1p25_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,84147,0.3617047799174691,8.59697386519945e-06,0.20825808406164992,0.5800285390470158,ineligible
vol60d_kup1p5_kdn0p75_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,50767,0.21822128610729025,0.0,0.16690268311370507,0.7648760307790047,ineligible
vol60d_kup1p5_kdn1p0_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,52841,0.22713634800550206,0.0,0.16828287076285875,0.7545807812316392,ineligible
vol60d_kup1p5_kdn1p25_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,53708,0.23086313617606602,0.0,0.16528936568426272,0.7538474981396713,ineligible
vol60d_kup2p0_kdn0p75_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,33210,0.14275275103163687,1.2895460797799175e-05,0.11821349840970427,0.8745263571611348,ineligible
vol60d_kup2p0_kdn1p0_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,34394,0.14784215955983493,0.0,0.12035005081327144,0.8774921087465635,ineligible
vol60d_kup2p0_kdn1p25_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,34874,0.14990543328748282,0.0,0.1199695815412248,0.879935851746258,ineligible
vol60d_kup2p5_kdn0p75_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,21603,0.09286021320495186,0.0,0.08257612808123736,0.8602840851237145,eligible
vol60d_kup2p5_kdn1p0_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,22307,0.09588634800550207,0.0,0.08468585925690213,0.8612004887486,eligible
vol60d_kup2p5_kdn1p25_H40,vol_scaled,volatility_60d,40,232640,232640,1.0,22556,0.09695667125171939,0.0,0.08514524675319582,0.8618114244985235,eligible
fixed_U20_L10_H40,fixed_anchor,,40,232640,232640,1.0,56472,0.24274415405777167,0.0,0.19448022981380467,0.7127756161284237,ineligible
vol20d_kup1p0_kdn0p75_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,78206,0.33616746905089406,0.0,0.2244680494398565,0.5893644815092494,ineligible
vol20d_kup1p0_kdn1p0_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,83024,0.35687757909215956,4.298486932599725e-06,0.21778787335954577,0.5753302490613621,ineligible
vol20d_kup1p0_kdn1p25_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,85226,0.36634284731774414,0.0,0.20597221296279047,0.5776849397194654,ineligible
vol20d_kup1p5_kdn0p75_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,51444,0.22113136176066026,4.298486932599725e-06,0.17134009814188417,0.7575242416105229,ineligible
