model_id,ablation_id,split,capacity_id,bucket,row_n,confirm_20_positive_n,confirm_20_positive_rate,mfe_20d_mean,mfe_20d_median,mfe_20d_p25,mfe_20d_p75,label_consistency_mismatch_n,label_consistency_mismatch_rate
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8000,candidate_rejected,1664,573,0.34435096153846156,0.16127569296883498,0.10634464251485531,0.04436468232667529,0.21265442160781178,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8000,candidate_accepted,6654,2381,0.35782987676585515,0.13119968743436652,0.09087649241505291,0.03625424702890728,0.17863357640039784,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8000,random_rejected,1664,568,0.34134615384615385,0.13062380232145043,0.08961371229100745,0.03693654087986026,0.1750310945273632,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8000,candidate_rejected,503,136,0.27037773359840955,0.12190156540940206,0.0755259375408337,0.031861996123832226,0.1577562382667408,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8000,candidate_accepted,2011,391,0.19443063152660367,0.07843892417092958,0.055962039988409096,0.022072064339832442,0.10592034634088221,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8000,random_rejected,503,108,0.2147117296222664,0.08756697608936549,0.06306306306306309,0.023959339061816243,0.11985547694644849,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8000,candidate_rejected,994,362,0.3641851106639839,0.16369312359455637,0.107713090691814,0.042830981391474954,0.22486639605174769,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8000,candidate_accepted,3976,1148,0.2887323943661972,0.1076632000623472,0.06805158466109484,0.027263517320198327,0.1422399123932343,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8000,random_rejected,994,302,0.3038229376257545,0.11750118711047736,0.0723376938825081,0.031892197383298015,0.15630540501238832,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8250,candidate_rejected,1456,501,0.3440934065934066,0.16271763186728597,0.10674039723263473,0.044990151204867546,0.21384935461345184,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8250,candidate_accepted,6862,2453,0.3574759545322064,0.1318053922019306,0.09101277785982842,0.03655485667420666,0.17908230996400287,0,0.0
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8250,random_rejected,1456,522,0.3585164835164835,0.14030390490319714,0.09364182997065962,0.03568786160842696,0.19227811757447089,0,0.0
