model_id,ablation_id,population_id,denominator_id,split,capacity_id,threshold_id,sample_n,reject_n,reject_fraction_actual,false_repair_positive_n,winner_n,e1_missed_winner_n,bridge_winner_n,candidate_rejected_false_repair_positive_n,candidate_rejected_false_repair_non_winner_n,candidate_rejected_winner_n,candidate_rejected_e1_missed_winner_n,candidate_rejected_bridge_winner_n,random_rejected_false_repair_positive_n,random_rejected_false_repair_non_winner_n,random_rejected_winner_n,false_repair_capture_rate,random_false_repair_capture_rate,false_repair_capture_lift_vs_random,candidate_precision,winner_retention,wrong_kill_rate,e1_missed_retention,e1_missed_wrong_kill_rate,bridge_retention,bridge_wrong_kill_rate,bridge_gate_binding_flag,train_selection_utility,supported_row_flag,row_block_reason
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,train,keep_8000,keep_8000,8318,1664,0.20004808848280836,3025,1491,811,1009,990,885,307,228,134,611,549,305,0.32727272727272727,0.20198347107438017,0.1252892561983471,0.5949519230769231,0.7940979208584842,0.20590207914151576,0.718865598027127,0.281134401972873,0.867195242814668,0.13280475718533202,False,-1.0300551387567431,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,validation,keep_8000,keep_8000,2514,503,0.20007955449482895,709,161,64,111,259,248,54,32,27,134,130,32,0.36530324400564174,0.18899858956276447,0.17630465444287727,0.5149105367793241,0.6645962732919255,0.33540372670807456,0.5,0.5,0.7567567567567568,0.24324324324324326,False,-3.340529361411224,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,robustness,keep_8000,keep_8000,4970,994,0.2,1299,995,482,675,509,418,256,173,113,254,214,210,0.3918398768283295,0.19553502694380293,0.19630484988452657,0.5120724346076458,0.742713567839196,0.25728643216080405,0.6410788381742738,0.35892116182572614,0.8325925925925926,0.1674074074074074,False,-1.8319099617032086,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,train,keep_8250,keep_8250,8318,1456,0.1750420774224573,3025,1491,811,1009,877,788,265,202,111,511,465,263,0.28991735537190083,0.16892561983471074,0.12099173553719009,0.6023351648351648,0.8222669349429913,0.17773306505700873,0.750924784217016,0.24907521578298397,0.889990089197225,0.11000991080277503,False,-0.594910005258545,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,validation,keep_8250,keep_8250,2514,440,0.17501988862370724,709,161,64,111,232,222,51,31,25,122,118,32,0.32722143864598024,0.17207334273624825,0.155148095909732,0.5272727272727272,0.6832298136645962,0.3167701863354037,0.515625,0.484375,0.7747747747747747,0.22522522522522523,False,-3.108575072643294,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,robustness,keep_8250,keep_8250,4970,870,0.1750503018108652,1299,995,482,675,467,380,220,150,97,236,215,160,0.3595073133179369,0.18167821401077752,0.17782909930715937,0.5367816091954023,0.778894472361809,0.22110552763819097,0.6887966804979253,0.3112033195020747,0.8562962962962963,0.1437037037037037,False,-1.2663248414544248,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,train,keep_8500,keep_8500,8318,1248,0.15003606636210629,3025,1491,811,1009,778,692,226,180,87,448,404,235,0.2571900826446281,0.14809917355371902,0.1090909090909091,0.6233974358974359,0.8484238765928906,0.15157612340710933,0.7780517879161529,0.2219482120838471,0.9137760158572844,0.08622398414271557,False,-0.21560886232912568,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,validation,keep_8500,keep_8500,2514,378,0.15035799522673032,709,161,64,111,201,192,47,30,21,107,101,20,0.2834978843441467,0.15091678420310295,0.13258110014104374,0.5317460317460317,0.7080745341614907,0.2919254658385093,0.53125,0.46875,0.8108108108108107,0.1891891891891892,False,-2.8153494639783014,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,robustness,keep_8500,keep_8500,4970,746,0.1501006036217304,1299,995,482,675,405,330,186,131,78,196,169,142,0.3117782909930716,0.15088529638183218,0.1608929946112394,0.5428954423592494,0.8130653266331658,0.18693467336683417,0.7282157676348548,0.2717842323651452,0.8844444444444445,0.11555555555555555,False,-0.7476636546822205,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,train,keep_8750,keep_8750,8318,1040,0.12503005530175523,3025,1491,811,1009,662,587,189,153,71,365,327,178,0.21884297520661158,0.1206611570247934,0.09818181818181819,0.6365384615384615,0.8732394366197183,0.1267605633802817,0.8113440197287299,0.18865598027127004,0.929633300297324,0.07036669970267592,False,-0.04923876708457284,False,e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,validation,keep_8750,keep_8750,2514,315,0.12529832935560858,709,161,64,111,172,164,42,29,17,80,77,22,0.24259520451339917,0.11283497884344147,0.1297602256699577,0.546031746031746,0.7391304347826086,0.2608695652173913,0.546875,0.453125,0.8468468468468469,0.15315315315315314,False,-2.4306262440189474,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,robustness,keep_8750,keep_8750,4970,622,0.12515090543259558,1299,995,482,675,348,283,153,112,61,163,140,131,0.2678983833718245,0.12548113933795227,0.1424172440338722,0.5594855305466238,0.8462311557788944,0.15376884422110554,0.7676348547717842,0.23236514522821577,0.9096296296296297,0.09037037037037036,False,-0.2451364379960737,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,train,keep_9000,keep_9000,8318,832,0.10002404424140418,3025,1491,811,1009,547,480,155,127,55,311,282,158,0.18082644628099173,0.1028099173553719,0.07801652892561983,0.6574519230769231,0.8960429242119383,0.10395707578806171,0.843403205918619,0.15659679408138102,0.9454905847373637,0.05450941526263627,False,0.07951531713940434,False,e1_missed_retention
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,validation,keep_9000,keep_9000,2514,252,0.10023866348448687,709,161,64,111,135,127,39,27,16,82,81,19,0.19040902679830748,0.1156558533145275,0.07475317348377998,0.5357142857142857,0.7577639751552795,0.2422360248447205,0.578125,0.421875,0.8558558558558559,0.14414414414414414,False,-2.1742715629943516,False,winner_retention;wrong_kill_rate;e1_missed_retention;train_selection_utility
regularized_logistic_false_repair_20d_l2_v1,full,10A__same_instrument_cooldown_10d,post_dedup_risk_on_r_core,robustness,keep_9000,keep_9000,4970,497,0.1,1299,995,482,675,288,232,128,101,43,146,124,109,0.22170900692840648,0.11239414934565051,0.10931485758275597,0.579476861167002,0.8713567839195979,0.12864321608040202,0.7904564315352697,0.2095435684647303,0.9362962962962963,0.0637037037037037,False,-0.1415488813974305,False,e1_missed_retention;train_selection_utility
