split,cascade_bucket,row_n,false_repair_positive_n,false_repair_non_winner_n,fast_fail_positive_n,winner_n,e1_missed_winner_n,bridge_winner_n,false_repair_non_winner_exposure_days,winner_retention_contribution,notes
robustness,accepted_by_cascade,4671,1194,1041,274,953,454,656,30372.0,0.04221105527638191,10B_only_baseline_no_10C_supported_gate
robustness,fast_fail_only_rejected,299,105,88,68,42,28,19,2528.0,0.9577889447236181,10B_only_baseline_no_10C_supported_gate
robustness,total,4970,1299,1129,342,995,482,675,32900.0,0.9577889447236181,total_pre_cascade_population
train,accepted_by_cascade,7818,2795,2538,516,1402,741,960,77057.0,0.059691482226693494,10B_only_baseline_no_10C_supported_gate
train,fast_fail_only_rejected,500,230,210,186,89,70,49,6492.0,0.9403085177733065,10B_only_baseline_no_10C_supported_gate
train,total,8318,3025,2748,702,1491,811,1009,83549.0,0.9403085177733065,total_pre_cascade_population
validation,accepted_by_cascade,2363,659,639,174,155,62,107,18731.0,0.037267080745341616,10B_only_baseline_no_10C_supported_gate
validation,fast_fail_only_rejected,151,50,50,62,6,2,4,1446.0,0.9627329192546584,10B_only_baseline_no_10C_supported_gate
validation,total,2514,709,689,236,161,64,111,20177.0,0.9627329192546584,total_pre_cascade_population
