model_id,ablation_id,split,capacity_id,winner_n,candidate_rejected_winner_n,winner_retention,e1_missed_winner_n,candidate_rejected_e1_missed_winner_n,e1_missed_retention,e1_missed_wrong_kill_rate,bridge_winner_n,candidate_rejected_bridge_winner_n,bridge_retention,bridge_wrong_kill_rate,bridge_gate_binding_flag,bridge_membership_missing_n,bridge_membership_missing_rate,retention_status
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8000,1491,307,0.7940979208584842,811,228,0.718865598027127,0.281134401972873,1009,134,0.867195242814668,0.13280475718533202,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8000,161,54,0.6645962732919255,64,32,0.5,0.5,111,27,0.7567567567567568,0.24324324324324326,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8000,995,256,0.742713567839196,482,173,0.6410788381742738,0.35892116182572614,675,113,0.8325925925925926,0.1674074074074074,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8250,1491,265,0.8222669349429913,811,202,0.750924784217016,0.24907521578298397,1009,111,0.889990089197225,0.11000991080277503,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8250,161,51,0.6832298136645962,64,31,0.515625,0.484375,111,25,0.7747747747747747,0.22522522522522523,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8250,995,220,0.778894472361809,482,150,0.6887966804979253,0.3112033195020747,675,97,0.8562962962962963,0.1437037037037037,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8500,1491,226,0.8484238765928906,811,180,0.7780517879161529,0.2219482120838471,1009,87,0.9137760158572844,0.08622398414271557,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8500,161,47,0.7080745341614907,64,30,0.53125,0.46875,111,21,0.8108108108108107,0.1891891891891892,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8500,995,186,0.8130653266331658,482,131,0.7282157676348548,0.2717842323651452,675,78,0.8844444444444445,0.11555555555555555,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_8750,1491,189,0.8732394366197183,811,153,0.8113440197287299,0.18865598027127004,1009,71,0.929633300297324,0.07036669970267592,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_8750,161,42,0.7391304347826086,64,29,0.546875,0.453125,111,17,0.8468468468468469,0.15315315315315314,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_8750,995,153,0.8462311557788944,482,112,0.7676348547717842,0.23236514522821577,675,61,0.9096296296296297,0.09037037037037036,False,3217,0.6472837022132797,fail
