model_id,ablation_id,selected_flag,feature_count,dropped_constant_feature_count,dropped_missing_feature_count,train_fit_rows,train_positive_n,train_weight_sum,solver,penalty,C,random_state,preprocess_fit_split,model_status
regularized_logistic_false_repair_20d_l2_v1,full,False,46,2,0,8318,3025,9560.014450170886,liblinear,l2,1.0,20260615,train,pass
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,False,33,2,0,8318,3025,9560.014450170886,liblinear,l2,1.0,20260615,train,pass
