split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,diagnostic_bucket_source,anchor_event_count,baseline_event_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,top1_instrument_year_pnl_share,top5_instrument_exposure_share,interpretation_status
train,failed_lookalike_avoidance,matched_delay_baseline,ret_60d_bucket,unavailable,linked_deferred_event,253,250,-0.19218401404643143,-0.20295944062115356,0.010775426574722136,-0.11277101141355447,-0.11373312465046123,0.0009621132369067587,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,UNKNOWN,linked_deferred_event,1,1,0.27759516136416673,0.17258702482978783,0.1050081365343789,-0.0154935608731398,-0.046598189032203474,0.031104628159063674,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,交通运输,linked_deferred_event,16,16,-0.18543548098471402,-0.14919499533442895,-0.036240485650285065,-0.11747918981419947,-0.11048125111859014,-0.006997938695609329,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,传媒,linked_deferred_event,4,4,-0.07864635405635115,-0.12229687696313088,0.04365052290677973,-0.09862231827171389,-0.10992478860113217,0.01130247032941828,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,公用事业,linked_deferred_event,10,10,-0.10246698393078793,-0.09860908070051805,-0.0038579032302698824,-0.11208057675046365,-0.08453120318703179,-0.02754937356343186,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,农林牧渔,linked_deferred_event,4,4,0.019746982936911364,-0.07728974267436509,0.09703672561127645,-0.05443153582913743,-0.08105342956584047,0.02662189373670304,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,医药生物,linked_deferred_event,16,14,-0.2636352863327943,-0.251081887282847,-0.01255339904994729,-0.13394534137779585,-0.13996625599127008,0.006020914613474232,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,国防军工,linked_deferred_event,8,8,-0.18290750691327237,-0.21913081026220357,0.0362233033489312,-0.12910282622092473,-0.13499230398688403,0.0058894777659593,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,基础化工,linked_deferred_event,9,9,-0.12529440634298825,-0.10615476893331392,-0.019139637409674323,-0.07153869930395845,-0.10501355605747226,0.033474856753513804,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,家用电器,linked_deferred_event,4,4,-0.08230950078260535,-0.0931897531393632,0.010880252356757852,-0.08876620658216614,-0.0695219698309556,-0.019244236751210536,,,too_sparse
