lookalike_source_family,failure_condition_id,formula_component_id,predicate_text,signed_margin_formula_text,required_input_fields,lookback_rule,parameter_source,parameter_value,formula_hash,dictionary_row_hash
A-like,pullback_window_failure,window,"trading_days_between(a,p) inside frozen pullback window","min(days - low, high - days)","a,p,calendar,window",asof_t,p0_window,pullback_hold_restrengthen,cfc81e93b3018fd3096e15723cdf36fb5bb26de617d8bcf4ee3ff0402dbc4279,19282a43ee59097df79253a7f1066a63b78e48d9b2ef084ce653221d3d6c20a1
A-like,pullback_depth_failure,depth,0.04 <= 1 - low[p]/close[a] <= 0.18,"min(depth - 0.04, 0.18 - depth)","low[p],close[a]",asof_t,config,"0.04,0.18",302d5e8fc8e0dd63ddc561d51e5977bcfc2c50a410d96bb35300e45090d30ce1,009f6b5d9c9196af9d8f8744ef4a46d2fe95bb9736cceeaed7580a48ff608b18
A-like,pullback_atr_floor_failure,atr_floor,low[p] >= close[a] - 2*atr20[a],(low[p] - (close[a] - 2*atr20[a])) / close[a],"low[p],close[a],atr20[a]",asof_t,config,2.0,01671228619463b7d3e2e03e8cdd4f4fe87ea8611b94cfe5a98ff78909153165,02ae5dfeef6ace7131ab1eef02025df51f5d9ed3236c43ab5a7bd5d60f02fe41
A-like,restrengthen_failure,restrengthen,t>p and t-p<=5 and close[t]>=high5[p] and close[t]>close[t-1] and money[t]>=money_ma20[t],min(component margins),"t,p,close,high,money,money_ma20",asof_t,config,5,be10ab8f4de00b96d8786d1ad44e9e267e8f7b778d209c0a5171122b0bd8e051,b5f38c60b07fb6d3af6b73db782a1d170bddd120d2f3c67b22e0c60c7b9cbafe
C-like,second_breakout_gap_failure,gap,"trading_days_between(a,t) in frozen second_breakout window and >=3","min(days-low, high-days, days-3)","a,t,calendar,window",asof_t,p0_window,second_breakout,a5985988df61d468ae7243c492f61040613706e79556a05670e5c2693458e4fa,4b271fa95e04d4051f0ba726e0d2ebef8cb8155b172b80e1c4a8c470a32816c6
C-like,second_breakout_consolidation_failure,consolidation,min(low[a+1:t-1]) >= close[a]*0.85,(min_interval_low - close[a]*0.85)/close[a],"interval low,close[a]",asof_t,config,0.15,a9aa3d9d8e70626d0386f21e357066ce46223522c6a952b3df49b840aa1ddd61,012ba96d72d674d85e359679f7314acf7cd3aed5d90c93a6c3835452c77b636d
C-like,second_breakout_return_failure,return,close[t]>=interval_high and close[t]/close[a]-1>=0.06,"min(close[t]/interval_high-1, close[t]/close[a]-1-0.06)","close[t],close[a],interval high",asof_t,config,0.06,01408456b72e7bf6297712504047c523405c575e752613505dde5605850c48f1,0503cb0797026df9bfb7479765cdef67c4e95c7c8b40202450582553c7d0cb03
C-like,second_breakout_liquidity_failure,liquidity,money[t]>=2*money_ma20[t] and money[t]>=50m,"min(money/(2*money_ma20)-1, money/50000000-1)","money[t],money_ma20[t]",asof_t,config,"2.0,50000000",d3313f9e52af07279b98aab86925c3e9a193ba0002e5a973bafa083a54c173bd,f69ec42bd8e95366214c23e83a9ee8237e11c20d0b8e01f15abe32578f1e6d37
