split,anchor_family_id,lifecycle_stage_id,winner_episode_count,source_upstream_artifact,source_upstream_hash,lifecycle_source_status
train,failed_lookalike_avoidance,failed_lookalike_avoidance,773,ep3_winner_lifecycle_profile.csv,,passed
validation,failed_lookalike_avoidance,failed_lookalike_avoidance,183,ep3_winner_lifecycle_profile.csv,,passed
robustness,failed_lookalike_avoidance,failed_lookalike_avoidance,309,ep3_winner_lifecycle_profile.csv,,passed
