split,stopped_ac_family_id,attribution_bucket,ac_event_count,ac_mean_after_cost_return_H20,ac_p05_after_cost_return_H20,ac_mae_mean_H20,matched_delay_mean_diff,tail_event_share,winner_capture_rate_50h120,interpretation_status
validation,pullback_hold_restrengthen,recovered_after_failure,5,-0.023579577947928733,-0.14175512778898486,-0.10684920097304154,,0.0,0.0,too_sparse
validation,pullback_hold_restrengthen,persistent_failure,54,-0.07448080131530335,-0.2053322779710771,-0.12443117416719372,,0.05555555555555555,0.018518518518518517,interpretable
validation,pullback_hold_restrengthen,clean_avoidance,1,0.322676597156479,0.322676597156479,-0.06488157692748531,,0.0,0.0,too_sparse
validation,pullback_hold_restrengthen,no_deferred_match,17,-0.04134593148878691,-0.2107093344469636,-0.11728696012752324,,0.058823529411764705,0.058823529411764705,too_sparse
validation,second_breakout,recovered_after_failure,39,-0.009535570756375088,-0.1801896593511482,-0.10064027552508757,,0.07692307692307693,0.1282051282051282,interpretable
validation,second_breakout,persistent_failure,9,-0.0005838303829096065,-0.11888818617772867,-0.09216768869017254,,0.0,0.2222222222222222,too_sparse
validation,second_breakout,clean_avoidance,15,-0.05737454170288953,-0.16758086675738565,-0.09182509567302098,,0.06666666666666667,0.06666666666666667,too_sparse
validation,second_breakout,no_deferred_match,1,-0.10012112613048796,-0.10012112613048796,-0.2001639045867728,,0.0,0.0,too_sparse
robustness,pullback_hold_restrengthen,recovered_after_failure,5,-0.05532738557072596,-0.16182896639443625,-0.11254001290248779,,0.2,0.0,too_sparse
robustness,pullback_hold_restrengthen,persistent_failure,41,0.00044307252449127,-0.1254708504886568,-0.07375886439515905,,0.04878048780487805,0.17073170731707318,interpretable
robustness,pullback_hold_restrengthen,clean_avoidance,3,-0.018205518233227393,-0.11534667587193786,-0.10017517370030445,,0.0,0.0,too_sparse
robustness,pullback_hold_restrengthen,no_deferred_match,8,0.007165647426831809,-0.07879032356402103,-0.07545478424767325,,0.0,0.0,too_sparse
robustness,second_breakout,recovered_after_failure,26,-0.030470190755154145,-0.15792405708372745,-0.10299197454183372,,0.11538461538461539,0.038461538461538464,interpretable
robustness,second_breakout,persistent_failure,16,-0.0198822046451997,-0.14153238476854693,-0.10501969544748252,,0.0,0.0625,too_sparse
robustness,second_breakout,clean_avoidance,14,0.04666031353112206,-0.06345773005610394,-0.0729280992586341,,0.0,0.14285714285714285,too_sparse
robustness,second_breakout,no_deferred_match,2,0.02023133311774461,-0.0748580026303013,-0.05421734489912805,,0.0,0.0,too_sparse
