split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,instrument_year_positive_rate_diff,interpretation_status
train,failed_lookalike_avoidance,matched_delay_baseline,all,all,DF_PART_42f22869d5af,linked_deferred_event,253,250,215,-0.0048870474668543575,-0.009653942039159251,0.004766894572304893,-0.19218401404643143,-0.20295944062115356,0.010775426574722136,-0.11277101141355447,-0.11373312465046123,0.0009621132369067587,0.3813953488372093,0.3584905660377358,0.0229047827994735,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,failure_margin_bucket,all,DF_PART_f34bb3075d54,linked_deferred_event,0,250,0,,-0.009653942039159251,,,-0.20295944062115356,,,-0.11373312465046123,,,0.3584905660377358,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,failure_margin_bucket,q0,DF_PART_da5d5f67f5b7,linked_deferred_event,59,0,58,0.0007040510539236313,,,-0.24994377000228166,,,-0.12110432764346028,,,0.46551724137931033,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,failure_margin_bucket,q1,DF_PART_06cb96bf1e79,linked_deferred_event,37,0,37,-0.03260953194258406,,,-0.16536668050490366,,,-0.1200600558685445,,,0.24324324324324326,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,failure_margin_bucket,q2,DF_PART_3bca00e18198,linked_deferred_event,61,0,59,0.0017684252986993737,,,-0.1674990977458537,,,-0.11188047198866434,,,0.3728813559322034,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,failure_margin_bucket,q3,DF_PART_5b97e8770cdd,linked_deferred_event,96,0,90,-0.0018675341941739425,,,-0.18807492868332942,,,-0.10540603852312976,,,0.43333333333333335,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,money_bucket,1,DF_PART_7aaf34d6a00e,linked_deferred_event,11,11,11,0.1025006066207662,0.0952325950787697,0.007268011541996494,-0.09023137088488825,-0.061577971629404094,-0.028653399255484158,-0.070094957116491,-0.06937738394180193,-0.0007175731746890679,0.7272727272727273,0.5454545454545454,0.18181818181818188,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,money_bucket,2,DF_PART_a238923dd11b,linked_deferred_event,17,17,16,0.03714155206005341,0.06601431549961234,-0.028872763439558934,-0.18485294989950682,-0.09981389989077745,-0.08503905000872937,-0.10380112501649905,-0.09400242385101851,-0.009798701165480539,0.4375,0.625,-0.1875,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,money_bucket,3,DF_PART_a4a19dbcd4e5,linked_deferred_event,61,60,60,-0.005335198690373217,-0.016906083055934037,0.011570884365560821,-0.1674990977458537,-0.20551490051136886,0.038015802765515166,-0.10044232562297131,-0.10483663602363949,0.004394310400668178,0.35,0.3728813559322034,-0.022881355932203418,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,money_bucket,4,DF_PART_cb6a354c79ca,linked_deferred_event,162,160,142,-0.015359628944098806,-0.02232823371266536,0.006968604768566554,-0.2121536046195977,-0.20389926706816477,-0.008254337551432928,-0.12063736298398586,-0.12216020397816012,0.0015228409941742543,0.38028169014084506,0.3237410071942446,0.05654068294660047,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,money_bucket,unavailable,DF_PART_ee71d68c8681,linked_deferred_event,2,2,1,-0.0908145289533579,0.0017974791164054316,-0.09261200806976333,-0.19630343362749267,-0.10165970143660027,-0.0946437321908924,-0.16258378383021843,-0.11812896793209116,-0.044454815898127276,0.0,1.0,-1.0,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,vol20_bucket,unavailable,DF_PART_6a3dbf4511a7,linked_deferred_event,253,250,215,-0.0048870474668543575,-0.009653942039159251,0.004766894572304893,-0.19218401404643143,-0.20295944062115356,0.010775426574722136,-0.11277101141355447,-0.11373312465046123,0.0009621132369067587,0.3813953488372093,0.3584905660377358,0.0229047827994735,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,ret_60d_bucket,unavailable,DF_PART_fbf589e5d807,linked_deferred_event,253,250,215,-0.0048870474668543575,-0.009653942039159251,0.004766894572304893,-0.19218401404643143,-0.20295944062115356,0.010775426574722136,-0.11277101141355447,-0.11373312465046123,0.0009621132369067587,0.3813953488372093,0.3584905660377358,0.0229047827994735,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,UNKNOWN,DF_PART_5a0ad4466844,linked_deferred_event,1,1,1,0.27759516136416673,0.17258702482978783,0.1050081365343789,0.27759516136416673,0.17258702482978783,0.1050081365343789,-0.0154935608731398,-0.046598189032203474,0.031104628159063674,1.0,1.0,0.0,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,交通运输,DF_PART_b4bad822ff07,linked_deferred_event,16,16,14,-0.05001710300809507,-0.03573805259849889,-0.014279050409596178,-0.18543548098471402,-0.14919499533442895,-0.036240485650285065,-0.11747918981419947,-0.11048125111859014,-0.006997938695609329,0.14285714285714285,0.3076923076923077,-0.16483516483516486,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,传媒,DF_PART_4f4f182f7498,linked_deferred_event,4,4,3,0.028449136520703994,-0.004663363386204461,0.033112499906908455,-0.07864635405635115,-0.12229687696313088,0.04365052290677973,-0.09862231827171389,-0.10992478860113217,0.01130247032941828,0.6666666666666666,0.3333333333333333,0.3333333333333333,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,公用事业,DF_PART_1bce4b8f4a70,linked_deferred_event,10,10,9,0.03548915551970298,0.04140486445125693,-0.005915708931553944,-0.10246698393078793,-0.09860908070051805,-0.0038579032302698824,-0.11208057675046365,-0.08453120318703179,-0.02754937356343186,0.3333333333333333,0.4444444444444444,-0.1111111111111111,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,农林牧渔,DF_PART_8bf72369f997,linked_deferred_event,4,4,3,0.16236695262879747,0.16015224360081595,0.002214709027981515,0.019746982936911364,-0.07728974267436509,0.09703672561127645,-0.05443153582913743,-0.08105342956584047,0.02662189373670304,1.0,0.6666666666666666,0.33333333333333337,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,医药生物,DF_PART_cd2c662e7084,linked_deferred_event,16,14,15,-0.06915673031690986,-0.06736283347920483,-0.0017938968377050335,-0.2636352863327943,-0.251081887282847,-0.01255339904994729,-0.13394534137779585,-0.13996625599127008,0.006020914613474232,0.3333333333333333,0.35714285714285715,-0.023809523809523836,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,国防军工,DF_PART_de4b2cc4ae31,linked_deferred_event,8,8,7,0.04465539294590207,0.05184686704785749,-0.00719147410195542,-0.18290750691327237,-0.21913081026220357,0.0362233033489312,-0.12910282622092473,-0.13499230398688403,0.0058894777659593,0.5714285714285714,0.5714285714285714,0.0,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,基础化工,DF_PART_e4ba8de021c4,linked_deferred_event,9,9,8,0.03918448840050063,0.0031437519323078084,0.03604073646819282,-0.12529440634298825,-0.10615476893331392,-0.019139637409674323,-0.07153869930395845,-0.10501355605747226,0.033474856753513804,0.625,0.375,0.25,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,家用电器,DF_PART_55842ea7a014,linked_deferred_event,4,4,3,-0.040726462852064604,-0.03728530614225786,-0.003441156709806742,-0.08230950078260535,-0.0931897531393632,0.010880252356757852,-0.08876620658216614,-0.0695219698309556,-0.019244236751210536,0.3333333333333333,0.0,0.3333333333333333,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,建筑材料,DF_PART_1249037274ff,linked_deferred_event,2,2,2,0.06886444653468715,0.06791803308418565,0.0009464134505015043,0.035544404473486266,0.036109491856084266,-0.0005650873825980007,-0.09428402787889134,-0.049167621617544066,-0.045116406261347275,1.0,1.0,0.0,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,建筑装饰,DF_PART_1dc8b80d78cb,linked_deferred_event,8,8,7,-0.04278014477170877,-0.0004962755885942749,-0.0422838691831145,-0.2161958791103071,-0.16445894881382572,-0.05173693029648138,-0.1291784301984159,-0.12954163390598494,0.0003632037075690375,0.14285714285714285,0.42857142857142855,-0.2857142857142857,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,房地产,DF_PART_a29da0727722,linked_deferred_event,13,13,13,-0.004792377405870061,-0.035099481638766666,0.030307104232896606,-0.25346710276385376,-0.23001596201329536,-0.023451140750558402,-0.12560766007397112,-0.14612794289958103,0.020520282825609915,0.5384615384615384,0.38461538461538464,0.1538461538461538,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,有色金属,DF_PART_3c8dcfeaa686,linked_deferred_event,15,15,10,0.04065783296176098,-0.0196474156990098,0.06030524866077078,-0.17024259838609915,-0.216342282844508,0.04609968445840884,-0.11580900341789802,-0.11786700021597693,0.002057996798078915,0.5,0.2222222222222222,0.2777777777777778,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,机械设备,DF_PART_0b0a6b7251c1,linked_deferred_event,5,5,4,-0.10094576553135401,-0.057908915560832,-0.04303684997052201,-0.1800320327179953,-0.18766467605436357,0.007632643336368261,-0.17282218758522144,-0.17483092517706306,0.002008737591841614,0.0,0.25,-0.25,too_sparse
