authority_check_id,authority_type,artifact_path,required_hash,observed_hash,required_validation_status,observed_validation_status,authority_status
DF_AUTH_39e15a31991c,p0_manifest,ep3/engineering_baseline/outputs/manifests/ep3_engineering_baseline_manifest.json,f544df4710c322cd069c37c91b476ea6b7323bd5d4b88b2085c749ee6638f31a,f544df4710c322cd069c37c91b476ea6b7323bd5d4b88b2085c749ee6638f31a,passed,passed,passed
DF_AUTH_c16b81d569fb,p0_artifact,ep3/engineering_baseline/outputs/cache/ep3_winner_label_panel.parquet,ba81492bc3aaf00355917fab1d57b556d2004a8998685f51847ca3506d09bd82,ba81492bc3aaf00355917fab1d57b556d2004a8998685f51847ca3506d09bd82,not_applicable,not_applicable,passed
DF_AUTH_912889cf6ead,p0_artifact,ep3/engineering_baseline/outputs/cache/ep3_candidate_anchor_panel.parquet,b4744212fc7b64103f461dcc4b748c63381c9a54488a2cbd033597958f575f19,b4744212fc7b64103f461dcc4b748c63381c9a54488a2cbd033597958f575f19,not_applicable,not_applicable,passed
DF_AUTH_07f2f272f727,p0_artifact,ep3/engineering_baseline/outputs/cache/ep3_matched_baseline_panel.parquet,7123b7dc338e1ffe6c5277ee4777340e6cfd7fe05ff36634ba8f9dc4c9d15ba4,7123b7dc338e1ffe6c5277ee4777340e6cfd7fe05ff36634ba8f9dc4c9d15ba4,not_applicable,not_applicable,passed
DF_AUTH_40ac5e15e174,p0_artifact,ep3/engineering_baseline/outputs/reports/ep3_winner_lifecycle_profile.csv,c659e99d6cfb7ad3ac184c7086fc8bdc5e164362c7c865246ced7650758e3d87,c659e99d6cfb7ad3ac184c7086fc8bdc5e164362c7c865246ced7650758e3d87,not_applicable,not_applicable,passed
DF_AUTH_c55f6b87c8c9,p0_artifact,ep3/engineering_baseline/outputs/reports/ep3_gate_audit.csv,7cb132c6881792521db007bc7f5f7b203ee8de010bdbaa7db4c3c17b56568aee,7cb132c6881792521db007bc7f5f7b203ee8de010bdbaa7db4c3c17b56568aee,not_applicable,not_applicable,passed
DF_AUTH_f1b51cf368f9,p0_artifact,ep3/engineering_baseline/outputs/reports/ep3_anchor_vs_matched_baseline.csv,8b1d508f517ac255a46c6a67abc8af319023d6f2326d8ac481fd1bdb679225d7,8b1d508f517ac255a46c6a67abc8af319023d6f2326d8ac481fd1bdb679225d7,not_applicable,not_applicable,passed
DF_AUTH_b9291039ae9d,p0_artifact,ep3/engineering_baseline/outputs/reports/ep3_anchor_window_freeze.csv,c69cd886387cf6cbcf20f4959ef514633f4ac3422873dafa0450cd851b999a08,c69cd886387cf6cbcf20f4959ef514633f4ac3422873dafa0450cd851b999a08,not_applicable,not_applicable,passed
DF_AUTH_2adb934db1ba,p0_artifact,ep3/engineering_baseline/outputs/reports/ep3_matched_control_bucket_freeze.csv,30e5c1a1ac9d30d78c3cc1f2226cd10db446d8f03e3e42bc8a950f3b833fc5f1,30e5c1a1ac9d30d78c3cc1f2226cd10db446d8f03e3e42bc8a950f3b833fc5f1,not_applicable,not_applicable,passed
DF_AUTH_6568988110cd,p0_5_manifest,ep3/outputs/p0_5_anchor_failure_diagnostic/manifests/p0_5_anchor_failure_diagnostic_manifest.json,08a1237aa6951e8203eafa1ce5b96c389d21fff4d441e4f48c3031058654ea5f,08a1237aa6951e8203eafa1ce5b96c389d21fff4d441e4f48c3031058654ea5f,passed,passed,passed
DF_AUTH_1bb1ce269f05,p0_5_artifact,ep3/outputs/p0_5_anchor_failure_diagnostic/cache/p0_5_anchor_event_diagnostic_panel.parquet,41b16e88428a2770cec42907eadc6cbfc4fcb993bbffeb47c77ee39c479048bb,41b16e88428a2770cec42907eadc6cbfc4fcb993bbffeb47c77ee39c479048bb,not_applicable,not_applicable,passed
DF_AUTH_f6c2b5f72304,p0_5_artifact,ep3/outputs/p0_5_anchor_failure_diagnostic/cache/p0_5_baseline_event_diagnostic_panel.parquet,9ecb8559d17b9eb8da8ceb8fe7b9af0c14e86e6b9553529cc396d0afe00b546b,9ecb8559d17b9eb8da8ceb8fe7b9af0c14e86e6b9553529cc396d0afe00b546b,not_applicable,not_applicable,passed
DF_AUTH_8d401d8e4a94,p0_5_artifact,ep3/outputs/p0_5_anchor_failure_diagnostic/reports/p0_5_hypothesis_audit.csv,78a349279419169bcd602ea0788e4a1f2f2d9617239682b206eabab15ebe04e9,78a349279419169bcd602ea0788e4a1f2f2d9617239682b206eabab15ebe04e9,not_applicable,not_applicable,passed
DF_AUTH_f390d7eafe11,p0_5_artifact,ep3/outputs/p0_5_anchor_failure_diagnostic/reports/p0_5_stop_continue_decision.csv,bcaabf3dc1c89be78858e8c21c5875172ae7793bae9789e0255e9298bb785a04,bcaabf3dc1c89be78858e8c21c5875172ae7793bae9789e0255e9298bb785a04,not_applicable,not_applicable,passed
DF_AUTH_079ad351ba18,ep2_launch_pool_reference,ep2/engineering_baseline/outputs/cache/ep2_launch_observation_pool.parquet,,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed,not_applicable,not_applicable,passed
DF_AUTH_0bc41f0e317a,qlib_pit_directory,data/qlib/cn_data_pit,,2cb2fdf8560374f42a900e531451a6d259a1a7c1a00f006eca582ea6acedce9b,not_applicable,not_applicable,passed
DF_AUTH_89a22ac8e57e,ep2_launch_pool_reference,data/universe/pit_qlib_instrument_universe.csv,,130fb70caa6c0930728af9981e973161e23ee5eac33135b73a130194258835b7,not_applicable,not_applicable,passed
DF_AUTH_d8c9b2afa046,ep2_launch_pool_reference,data/qlib/cn_data_pit/calendars/day.txt,,b01cae7c1ea91933e7daddfc5c71847ee5cd5b26d6c49583b95fec4e49e590ad,not_applicable,not_applicable,passed
DF_AUTH_e09c2d02feea,ep2_launch_pool_reference,data/targets/pit_industry_membership.csv,,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,not_applicable,not_applicable,passed
