split,anchor_family_id,lookalike_source_family,event_type,avoidance_status,event_count,primary_forward_audit_event_count,gate_eligible_h20_event_count,unique_launch_episode_count,unique_instrument_count,unique_instrument_year_count,unavailable_formula_row_count,event_summary_status
robustness,failed_lookalike_avoidance,A-like,clean_avoidance_state,clean_avoidance,5,0,5,5,5,5,0,passed
robustness,failed_lookalike_avoidance,A-like,failure_lookalike_state,persistent_failure,744,0,715,744,250,412,0,passed
robustness,failed_lookalike_avoidance,A-like,recovery_after_failed_lookalike,recovered_after_failure,7,6,6,7,6,6,0,passed
robustness,failed_lookalike_avoidance,C-like,clean_avoidance_state,clean_avoidance,155,0,151,155,104,131,0,passed
robustness,failed_lookalike_avoidance,C-like,failure_lookalike_state,persistent_failure,594,0,573,594,230,368,0,passed
robustness,failed_lookalike_avoidance,C-like,recovery_after_failed_lookalike,recovered_after_failure,170,148,164,170,112,149,0,passed
train,failed_lookalike_avoidance,A-like,clean_avoidance_state,clean_avoidance,5,0,5,5,5,5,0,passed
train,failed_lookalike_avoidance,A-like,failure_lookalike_state,persistent_failure,1107,0,1082,1107,230,634,0,passed
train,failed_lookalike_avoidance,A-like,recovery_after_failed_lookalike,recovered_after_failure,21,20,20,21,21,21,0,passed
train,failed_lookalike_avoidance,C-like,clean_avoidance_state,clean_avoidance,231,0,228,231,139,198,0,passed
train,failed_lookalike_avoidance,C-like,failure_lookalike_state,persistent_failure,842,0,830,842,216,551,0,passed
train,failed_lookalike_avoidance,C-like,recovery_after_failed_lookalike,recovered_after_failure,236,233,234,236,141,208,0,passed
validation,failed_lookalike_avoidance,A-like,clean_avoidance_state,clean_avoidance,5,0,5,5,5,5,0,passed
validation,failed_lookalike_avoidance,A-like,failure_lookalike_state,persistent_failure,512,0,505,512,229,335,0,passed
validation,failed_lookalike_avoidance,A-like,recovery_after_failed_lookalike,recovered_after_failure,9,9,9,9,9,9,0,passed
validation,failed_lookalike_avoidance,C-like,clean_avoidance_state,clean_avoidance,90,0,88,90,75,83,0,passed
validation,failed_lookalike_avoidance,C-like,failure_lookalike_state,persistent_failure,372,0,369,372,199,265,0,passed
validation,failed_lookalike_avoidance,C-like,recovery_after_failed_lookalike,recovered_after_failure,92,90,91,92,76,82,0,passed
