split,anchor_family_id,event_type,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,trigger_rate_type,event_count,canonical_launch_episode_count,trigger_rate_per_launch_episode,unique_instrument_count,unique_instrument_year_count,trigger_rate_band,interpretation_status
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,all,all,DF_PART_42f22869d5af,raw_recovery_event,257,1153,0.22289679098005205,145,219,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,lookalike_source_family,A-like,DF_PART_3d89ea2216bb,raw_recovery_event,21,1153,0.01821335646140503,21,21,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,lookalike_source_family,C-like,DF_PART_9bac6c7f24b9,raw_recovery_event,236,1153,0.204683434518647,141,208,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,failure_condition_id,none,DF_PART_04328f30e081,raw_recovery_event,257,1153,0.22289679098005205,145,219,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,failure_margin_bucket,q0,DF_PART_da5d5f67f5b7,raw_recovery_event,61,1153,0.05290546400693842,54,60,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,failure_margin_bucket,q1,DF_PART_06cb96bf1e79,raw_recovery_event,37,1153,0.032090199479618386,34,37,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,failure_margin_bucket,q2,DF_PART_3bca00e18198,raw_recovery_event,62,1153,0.053772766695576756,56,60,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,failure_margin_bucket,q3,DF_PART_5b97e8770cdd,raw_recovery_event,97,1153,0.08412836079791847,72,91,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,money_bucket,1,DF_PART_7aaf34d6a00e,raw_recovery_event,11,1153,0.009540329575021683,9,11,all,too_sparse
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,money_bucket,2,DF_PART_a238923dd11b,raw_recovery_event,17,1153,0.014744145706851692,15,16,all,too_sparse
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,money_bucket,3,DF_PART_a4a19dbcd4e5,raw_recovery_event,61,1153,0.05290546400693842,51,60,all,interpretable
train,failed_lookalike_avoidance,recovery_after_failed_lookalike,money_bucket,4,DF_PART_cb6a354c79ca,raw_recovery_event,166,1153,0.14397224631396358,108,146,all,interpretable
