family,fold_id,factor_id,direction_source_split,direction_source_instrument_scope,fold_direction_valid_instrument_count,factor_direction_stat,factor_direction_stat_p25,factor_direction_stat_p75,direction,direction_status,direction_insufficient_factor_dropped
vwap_deviation,0,alpha018,train,seen_folds_not_0,125,-0.03665937598557026,-0.09404065710075211,0.015675236523036828,-1.0,direction_available,False
vwap_deviation,0,alpha027,train,seen_folds_not_0,125,-0.013726510120012171,-0.07794661660484932,0.04695402589731661,-1.0,direction_available,False
vwap_deviation,0,alpha041,train,seen_folds_not_0,125,0.030513310554023686,-0.017441973988970638,0.08852790540912354,1.0,direction_available,False
vwap_deviation,0,alpha095,train,seen_folds_not_0,125,-0.0453657081039033,-0.09090674746498378,-0.008337747979777451,-1.0,direction_available,False
vwap_deviation,0,alpha144,train,seen_folds_not_0,125,0.05413803236133549,0.007256974040746879,0.1000567395201884,1.0,direction_available,False
vwap_deviation,0,alpha156,train,seen_folds_not_0,125,0.008201003075821119,-0.0401505516372459,0.061937387974611575,1.0,direction_available,False
vwap_deviation,1,alpha018,train,seen_folds_not_1,119,-0.04067605625567624,-0.09584571236044424,0.015341155699265516,-1.0,direction_available,False
vwap_deviation,1,alpha027,train,seen_folds_not_1,119,-0.03188655256789157,-0.08313827327253828,0.03559779076865725,-1.0,direction_available,False
vwap_deviation,1,alpha041,train,seen_folds_not_1,119,0.037356641307649124,-0.009161728496572777,0.0952833164749575,1.0,direction_available,False
vwap_deviation,1,alpha095,train,seen_folds_not_1,119,-0.049259747199149044,-0.0908131541903093,-0.01492080073431809,-1.0,direction_available,False
vwap_deviation,1,alpha144,train,seen_folds_not_1,119,0.05821589321038955,0.018350178394901828,0.1058737326614487,1.0,direction_available,False
vwap_deviation,1,alpha156,train,seen_folds_not_1,119,0.018765567089877238,-0.036969091456700395,0.08358197342278485,1.0,direction_available,False
vwap_deviation,2,alpha018,train,seen_folds_not_2,119,-0.04902412757920282,-0.09193109594946515,0.009857366296085102,-1.0,direction_available,False
vwap_deviation,2,alpha027,train,seen_folds_not_2,119,-0.021639179403402008,-0.07900746554058685,0.037265025709203745,-1.0,direction_available,False
vwap_deviation,2,alpha041,train,seen_folds_not_2,119,0.03373016204210819,-0.02816642823827445,0.09547287715980335,1.0,direction_available,False
vwap_deviation,2,alpha095,train,seen_folds_not_2,119,-0.04750969770465079,-0.08966094898517077,-0.011710947112053723,-1.0,direction_available,False
vwap_deviation,2,alpha144,train,seen_folds_not_2,119,0.05821589321038955,0.01696199150199108,0.11521959161321557,1.0,direction_available,False
vwap_deviation,2,alpha156,train,seen_folds_not_2,119,0.015556689892284736,-0.03820339695765709,0.07673017773462615,1.0,direction_available,False
vwap_deviation,3,alpha018,train,seen_folds_not_3,121,-0.04088531593013921,-0.09509677787383819,0.020010134189620835,-1.0,direction_available,False
vwap_deviation,3,alpha027,train,seen_folds_not_3,121,-0.029538343661840948,-0.07990194580466192,0.03679732196068013,-1.0,direction_available,False
vwap_deviation,3,alpha041,train,seen_folds_not_3,121,0.03359923836922792,-0.004694208659773799,0.0913157036046276,1.0,direction_available,False
vwap_deviation,3,alpha095,train,seen_folds_not_3,121,-0.0435820146387086,-0.09090674746498378,-0.00594095335080547,-1.0,direction_available,False
vwap_deviation,3,alpha144,train,seen_folds_not_3,121,0.0482828700260692,0.004792781356679508,0.10095882246465242,1.0,direction_available,False
vwap_deviation,3,alpha156,train,seen_folds_not_3,121,0.012588854952461231,-0.03625624227806829,0.06843897565922834,1.0,direction_available,False
vwap_deviation,4,alpha018,train,seen_folds_not_4,116,-0.04632066961931974,-0.09178409550805608,0.008582096533074514,-1.0,direction_available,False
vwap_deviation,4,alpha027,train,seen_folds_not_4,116,-0.028912750524534465,-0.08060600894709988,0.035231877046907625,-1.0,direction_available,False
vwap_deviation,4,alpha041,train,seen_folds_not_4,116,0.03133230517197762,-0.014980308584557669,0.0892113472810186,1.0,direction_available,False
vwap_deviation,4,alpha095,train,seen_folds_not_4,116,-0.04699448558503391,-0.09724896650584916,-0.012106775696812311,-1.0,direction_available,False
vwap_deviation,4,alpha144,train,seen_folds_not_4,116,0.052924657828947036,0.01727685375262509,0.10769956114028827,1.0,direction_available,False
vwap_deviation,4,alpha156,train,seen_folds_not_4,116,0.013723878538619366,-0.0382909008122615,0.0834882393207133,1.0,direction_available,False
volume_price_correlation,0,alpha022,train,seen_folds_not_0,125,-0.004319244787933081,-0.0524857108405973,0.02642640129182217,-1.0,direction_available,False
volume_price_correlation,0,alpha031,train,seen_folds_not_0,125,-0.019100965924022658,-0.09247517574529371,0.027838342701782568,-1.0,direction_available,False
volume_price_correlation,0,alpha185,train,seen_folds_not_0,125,0.0004897803750337057,-0.05123450273960413,0.05504290329632298,1.0,direction_available,False
volume_price_correlation,1,alpha022,train,seen_folds_not_1,119,-0.008482705450312145,-0.06329589076012601,0.03251304437712439,-1.0,direction_available,False
volume_price_correlation,1,alpha031,train,seen_folds_not_1,119,-0.030159810568830776,-0.09898733701442883,0.02809721501299337,-1.0,direction_available,False
volume_price_correlation,1,alpha185,train,seen_folds_not_1,119,0.016340663598440316,-0.05124782683701755,0.058633811021318163,1.0,direction_available,False
volume_price_correlation,2,alpha022,train,seen_folds_not_2,119,-0.009266353885618714,-0.053796846876756316,0.024514081165330392,-1.0,direction_available,False
volume_price_correlation,2,alpha031,train,seen_folds_not_2,119,-0.032434642223712326,-0.09780766315370532,0.02543762572018323,-1.0,direction_available,False
volume_price_correlation,2,alpha185,train,seen_folds_not_2,119,0.008390782547606255,-0.0424873767653179,0.05792619977241674,1.0,direction_available,False
volume_price_correlation,3,alpha022,train,seen_folds_not_3,121,-0.009266353885618714,-0.053823144696090244,0.023118478535968264,-1.0,direction_available,False
volume_price_correlation,3,alpha031,train,seen_folds_not_3,121,-0.035207986409138796,-0.09732958261073184,0.026430079139656643,-1.0,direction_available,False
volume_price_correlation,3,alpha185,train,seen_folds_not_3,121,0.0010574842714262858,-0.051341089067317235,0.05822861893945367,1.0,direction_available,False
volume_price_correlation,4,alpha022,train,seen_folds_not_4,116,-0.008874529667965429,-0.06477819616739246,0.024025441261263127,-1.0,direction_available,False
volume_price_correlation,4,alpha031,train,seen_folds_not_4,116,-0.025192231834547635,-0.09301508278938632,0.014002161936790092,-1.0,direction_available,False
volume_price_correlation,4,alpha185,train,seen_folds_not_4,116,0.010480833000728754,-0.04493912252054411,0.08051774781499547,1.0,direction_available,False
