family,factor_id,split,instrument_fold_id,stock_date_count,normalization_sample_pass_count,normalization_sample_fail_count,uses_future_data_flag,cross_stock_fill_flag,within_stock_lookback_excludes_future_data,within_stock_lookback_ends_at_D_minus_1,mid_rank_tie_handling_used,factor_value_tie_share_in_lookback,factor_value_at_tie_cluster_flag
vwap_deviation,alpha018,robustness,0,3732,3732,0,False,False,True,True,True,0.0006064236513338983,0.0
vwap_deviation,alpha018,robustness,1,4879,4879,0,False,False,True,True,True,0.00032701154123060405,0.0
vwap_deviation,alpha018,robustness,2,4482,4481,1,False,False,True,True,True,0.0003852958034258336,0.0
vwap_deviation,alpha018,robustness,3,5390,5390,0,False,False,True,True,True,0.0009373460779897869,0.0
vwap_deviation,alpha018,robustness,4,4375,4373,2,False,False,True,True,True,0.0002577996929176152,0.0
vwap_deviation,alpha018,train,0,6320,5880,440,False,False,True,True,True,0.0016858932795003057,0.0007911392405063291
vwap_deviation,alpha018,train,1,8018,7250,768,False,False,True,True,True,0.00038579938700422645,0.0
vwap_deviation,alpha018,train,2,7834,7216,618,False,False,True,True,True,0.001010058680549264,0.0
vwap_deviation,alpha018,train,3,8625,7852,773,False,False,True,True,True,0.0009274735930375755,0.0
vwap_deviation,alpha018,train,4,8211,7428,783,False,False,True,True,True,0.0003785043372772634,0.0
vwap_deviation,alpha018,validation,0,3870,3870,0,False,False,True,True,True,0.0014182323357090354,0.0005167958656330749
vwap_deviation,alpha018,validation,1,4562,4551,11,False,False,True,True,True,0.0005905885482206941,0.0
vwap_deviation,alpha018,validation,2,4307,4303,4,False,False,True,True,True,0.0011476537911221385,0.0013930810308799629
vwap_deviation,alpha018,validation,3,5096,5093,3,False,False,True,True,True,0.0010156839853152633,0.0
vwap_deviation,alpha018,validation,4,4055,4051,4,False,False,True,True,True,0.00041631891508586705,0.0
vwap_deviation,alpha027,robustness,0,3732,3732,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,robustness,1,4879,4879,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,robustness,2,4482,4481,1,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,robustness,3,5390,5390,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,robustness,4,4375,4368,7,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,train,0,6320,5792,528,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,train,1,8018,7132,886,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,train,2,7834,7093,741,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,train,3,8625,7719,906,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,train,4,8211,7302,909,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,validation,0,3870,3870,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,validation,1,4562,4544,18,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,validation,2,4307,4298,9,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,validation,3,5096,5089,7,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha027,validation,4,4055,4045,10,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha041,robustness,0,3732,3732,0,False,False,True,True,True,0.0010715954704210162,0.0
vwap_deviation,alpha041,robustness,1,4879,4879,0,False,False,True,True,True,0.0009416792308911681,0.0
vwap_deviation,alpha041,robustness,2,4482,4481,1,False,False,True,True,True,0.007792710792273283,0.011155734047300312
vwap_deviation,alpha041,robustness,3,5390,5390,0,False,False,True,True,True,0.00177739467471838,0.0
vwap_deviation,alpha041,robustness,4,4375,4372,3,False,False,True,True,True,0.0011014665942639112,0.0
vwap_deviation,alpha041,train,0,6320,5857,463,False,False,True,True,True,0.00043180363718420267,0.0
vwap_deviation,alpha041,train,1,8018,7214,804,False,False,True,True,True,0.00042521077557466924,0.0
vwap_deviation,alpha041,train,2,7834,7183,651,False,False,True,True,True,0.012617363594472408,0.016594332397242787
vwap_deviation,alpha041,train,3,8625,7814,811,False,False,True,True,True,0.00043612017179839313,0.0
vwap_deviation,alpha041,train,4,8211,7391,820,False,False,True,True,True,0.00041507635614834726,0.0
vwap_deviation,alpha041,validation,0,3870,3870,0,False,False,True,True,True,0.001334953005425632,0.0
vwap_deviation,alpha041,validation,1,4562,4550,12,False,False,True,True,True,0.0008339899941347539,0.0
vwap_deviation,alpha041,validation,2,4307,4302,5,False,False,True,True,True,0.008656199090182781,0.013466449965172975
vwap_deviation,alpha041,validation,3,5096,5093,3,False,False,True,True,True,0.001001062453724444,0.0
vwap_deviation,alpha041,validation,4,4055,4049,6,False,False,True,True,True,0.0007597484509460628,0.0
vwap_deviation,alpha095,robustness,0,3732,3732,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,robustness,1,4879,4879,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,robustness,2,4482,4481,1,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,robustness,3,5390,5390,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,robustness,4,4375,4368,7,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,train,0,6320,5789,531,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,train,1,8018,7120,898,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,train,2,7834,7085,749,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,train,3,8625,7715,910,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,train,4,8211,7291,920,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,validation,0,3870,3870,0,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,validation,1,4562,4543,19,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,validation,2,4307,4297,10,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,validation,3,5096,5089,7,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha095,validation,4,4055,4045,10,False,False,True,True,True,0.0,0.0
vwap_deviation,alpha144,robustness,0,3732,3732,0,False,False,True,True,True,0.00115793920122087,0.0
vwap_deviation,alpha144,robustness,1,4879,4879,0,False,False,True,True,True,0.0012500936863943934,0.0
vwap_deviation,alpha144,robustness,2,4482,4482,0,False,False,True,True,True,0.0012554216664284468,0.0
vwap_deviation,alpha144,robustness,3,5390,5390,0,False,False,True,True,True,0.0012281356612220407,0.0
vwap_deviation,alpha144,robustness,4,4375,4374,1,False,False,True,True,True,0.0011986554600298405,0.0
vwap_deviation,alpha144,train,0,6320,5829,491,False,False,True,True,True,0.0015027244808152318,0.0
vwap_deviation,alpha144,train,1,8018,7161,857,False,False,True,True,True,0.0014667026698589325,0.0
vwap_deviation,alpha144,train,2,7834,7137,697,False,False,True,True,True,0.0014990498311817646,0.0
vwap_deviation,alpha144,train,3,8625,7745,880,False,False,True,True,True,0.0014933408237993717,0.0
vwap_deviation,alpha144,train,4,8211,7352,859,False,False,True,True,True,0.001458191080018878,0.0
vwap_deviation,alpha144,validation,0,3870,3870,0,False,False,True,True,True,0.0013022436760365963,0.0
vwap_deviation,alpha144,validation,1,4562,4554,8,False,False,True,True,True,0.0013017378514632583,0.0
