family,role,r06_in_scope_factor_count,available_factor_count,factor_ids,available_factor_ids,primary_decision_eligible
vwap_deviation,primary,6,6,alpha018;alpha027;alpha041;alpha095;alpha144;alpha156,alpha018;alpha027;alpha041;alpha095;alpha144;alpha156,True
volume_price_correlation,audit_only_comparator,3,3,alpha022;alpha031;alpha185,alpha022;alpha031;alpha185,False
