family,split,fold_id,fold_unseen_valid_instrument_count,fold_unseen_full_valid_instrument_count,fold_unseen_partial_event_only_instrument_count,fold_unseen_valid_signal_date_count,per_date_high_low_event_floor,partial_instruments_excluded_from_sample_gate,partial_instruments_excluded_from_positive_instrument_share,fold_evaluable_flag
vwap_deviation,train_oof_unseen,0,25,25,11,38,5,True,True,True
vwap_deviation,train_oof_unseen,1,31,31,12,43,5,True,True,True
vwap_deviation,train_oof_unseen,2,31,31,9,40,5,True,True,True
vwap_deviation,train_oof_unseen,3,29,29,22,41,5,True,True,True
vwap_deviation,train_oof_unseen,4,33,33,6,46,5,True,True,True
vwap_deviation,validation_oof_unseen,0,29,29,9,35,5,True,True,True
vwap_deviation,validation_oof_unseen,1,36,36,7,42,5,True,True,True
vwap_deviation,validation_oof_unseen,2,37,37,7,31,5,True,True,True
vwap_deviation,validation_oof_unseen,3,41,41,6,50,5,True,True,True
vwap_deviation,validation_oof_unseen,4,38,38,1,40,5,True,True,True
vwap_deviation,robustness_oof_unseen,0,32,32,3,23,5,True,True,False
vwap_deviation,robustness_oof_unseen,1,42,42,3,42,5,True,True,True
vwap_deviation,robustness_oof_unseen,2,34,34,5,37,5,True,True,True
vwap_deviation,robustness_oof_unseen,3,44,44,7,49,5,True,True,True
vwap_deviation,robustness_oof_unseen,4,36,36,2,37,5,True,True,True
volume_price_correlation,train_oof_unseen,0,25,25,11,21,5,True,True,False
volume_price_correlation,train_oof_unseen,1,31,31,12,31,5,True,True,True
volume_price_correlation,train_oof_unseen,2,31,31,9,35,5,True,True,True
volume_price_correlation,train_oof_unseen,3,29,29,22,29,5,True,True,False
volume_price_correlation,train_oof_unseen,4,34,34,6,41,5,True,True,True
volume_price_correlation,validation_oof_unseen,0,31,31,9,26,5,True,True,False
volume_price_correlation,validation_oof_unseen,1,39,39,7,28,5,True,True,False
volume_price_correlation,validation_oof_unseen,2,38,38,7,28,5,True,True,False
volume_price_correlation,validation_oof_unseen,3,45,45,6,33,5,True,True,True
volume_price_correlation,validation_oof_unseen,4,39,39,1,27,5,True,True,False
volume_price_correlation,robustness_oof_unseen,0,32,32,3,26,5,True,True,False
volume_price_correlation,robustness_oof_unseen,1,43,43,3,41,5,True,True,True
volume_price_correlation,robustness_oof_unseen,2,38,38,5,50,5,True,True,True
volume_price_correlation,robustness_oof_unseen,3,46,46,7,51,5,True,True,True
volume_price_correlation,robustness_oof_unseen,4,37,37,2,37,5,True,True,True
