family,fold_id,bucket_edge_source_split,bucket_edge_source_instrument_scope,train_seen_q20,train_seen_q80,decile_edges_train_seen,frozen_before_validation_read,bucket_method,low_state_alias,high_state_alias,train_seen_low_state_count,train_seen_middle_state_count,train_seen_high_state_count
vwap_deviation,0,train,seen_folds_not_0,0.3144841293493907,0.6447579495608808,"[0.21461639776825905, 0.3144841293493907, 0.38756615072488787, 0.44907407462596893, 0.4996693128099044, 0.5466269763807455, 0.5945028763264417, 0.6447579495608808, 0.7076719579597315]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5956,17862,5955
vwap_deviation,1,train,seen_folds_not_1,0.3174603134393692,0.6448412743707498,"[0.2193371211489042, 0.3174603134393692, 0.3895502655766905, 0.4497354507446289, 0.5004162353773912, 0.5469576787203551, 0.5945767187823852, 0.6448412743707498, 0.7080347687005996]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5683,17043,5682
vwap_deviation,2,train,seen_folds_not_2,0.31283068905274075,0.643518519649903,"[0.21461639907211066, 0.31283068905274075, 0.3849206406002243, 0.44642857412497206, 0.49735449254512787, 0.5449735422929128, 0.5922619104385376, 0.643518519649903, 0.7070105794506768]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5690,17062,5688
vwap_deviation,3,train,seen_folds_not_3,0.31455411116282156,0.6441798948993286,"[0.21726189764837422, 0.31455411116282156, 0.38756613930066425, 0.4494047696857403, 0.5000551789999008, 0.5463521489873528, 0.5934663367768125, 0.6441798948993286, 0.7086640236278375]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5562,16683,5562
vwap_deviation,4,train,seen_folds_not_4,0.3134920621911685,0.643962894876798,"[0.21581750487287837, 0.3134920621911685, 0.3865740870436033, 0.44708995210627717, 0.4983465584615866, 0.5446428631742796, 0.5925925921959181, 0.643962894876798, 0.707010586746037]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5645,16927,5644
volume_price_correlation,0,train,seen_folds_not_0,0.31746032238006594,0.6931216915448507,"[0.210317462682724, 0.31746032238006594, 0.3928571542104085, 0.45812918941179914, 0.5198412630707026, 0.5780423353115718, 0.6363395810127257, 0.6931216915448507, 0.7685185238718987]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5991,17963,6001
volume_price_correlation,1,train,seen_folds_not_1,0.32010582089424133,0.6931216965119044,"[0.21428572138150534, 0.32010582089424133, 0.3955016096433004, 0.46164021889368695, 0.5223303735256195, 0.5806878301004569, 0.6375661393006643, 0.6931216965119044, 0.7698412694036961]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5714,17121,5710
volume_price_correlation,2,train,seen_folds_not_2,0.31636019150416067,0.6937257132803402,"[0.20899471218387286, 0.31636019150416067, 0.39153438806533813, 0.4589947029948235, 0.5198412587245306, 0.5780423084894816, 0.6362433880567551, 0.6937257132803402, 0.7711640195300181]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5722,17163,5722
volume_price_correlation,3,train,seen_folds_not_3,0.31878305474917096,0.6944444452722868,"[0.21164021889368692, 0.31878305474917096, 0.3934313488503297, 0.4603174527486165, 0.5211640000343323, 0.5793650796016058, 0.6375661365687847, 0.6944444452722868, 0.7698849144081273]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5596,16777,5595
volume_price_correlation,4,train,seen_folds_not_4,0.31873070696989697,0.6931216903030872,"[0.21217932303746542, 0.31873070696989697, 0.3928571442763011, 0.461640199025472, 0.5214153404037157, 0.5793650845686594, 0.6362433930238088, 0.6931216903030872, 0.7698412636915842]",True,fold_train_seen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,5677,17027,5677
