split,event_count,instrument_count,signal_date_count,raw_label_available_count,self_relative_label_available_count,industry_relative_label_available_count,industry_relative_peer_count_min,industry_relative_peer_count_p50,self_relative_label_lookback_only_uses_completed_h3_labels,self_relative_label_uses_lookback_h3_exit_date_le_D_minus_1
robustness,22858,321,102,22858,20598,14075,0,11.0,True,True
train,39008,390,226,39008,28534,17131,0,8.0,True,True
validation,21890,302,98,21890,20115,12576,0,11.0,True,True
